# Kranji phonic partition - initial: b
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 380
U+4E0D	不	bù	bù	bù(23305) bu(555)
U+4E19	丙	bǐng	bǐng	bǐng(30)
U+4EB3	亳	bó	bó	
U+4F2F	伯	bǎi,bó	bó	bó(137) bo(56)
U+4F34	伴	bàn	bàn	bàn(106)
U+4F56	佖	bì	bì	
U+4F70	佰	bǎi	bǎi	
U+4FBF	便	biàn,pián	biàn	biàn(1235) pián(58)
U+4FDD	保	bǎo	bǎo	bǎo(852)
U+4FF5	俵	biào	biào	
U+4FFE	俾	bǐ	bǐ	
U+500D	倍	bèi	bèi	bèi(219)
U+5034	倴	bèn	bèn	
U+508D	傍	bàng	bàng	bàng(47)
U+50A7	傧	bīn	bīn	
U+50F0	僰	bó	bó	
U+5126	儦	biāo	biāo	
U+516B	八	bā	bā	bā(1123)
U+5175	兵	bīng	bīng	bīng(536)
U+51B0	冰	bīng	bīng	bīng(167)
U+522B	别	bié,biè	bié	bié(2043) biè(14)
U+5265	剥	bāo,bō	bō	bō(212)
U+529E	办	bàn	bàn	bàn(1187)
U+52C3	勃	bó	bó	bó(54)
U+5305	包	bāo	bāo	bāo(706)
U+5315	匕	bǐ	bǐ	
U+5317	北	běi	běi	běi(726)
U+533E	匾	biǎn	biǎn	biǎn(23)
U+534A	半	bàn	bàn	bàn(1143)
U+5351	卑	bēi	bēi	bēi(13)
U+535A	博	bó	bó	bó(121)
U+535C	卜	bo,bǔ	bo	bo(25)
U+535E	卞	biàn	biàn	
U+535F	卟	bǔ	bǔ	
U+53D8	变	biàn	biàn	biàn(1669)
U+53ED	叭	bā	bā	ba(25)
U+5421	吡	bǐ	bǐ	
U+5427	吧	bā,ba	ba	ba(2073)
U+5457	呗	bei	bei	bei(22)
U+5487	咇	bì	bì	
U+54D4	哔	bì	bì	
U+54F1	哱	bō	bō	
U+54FA	哺	bǔ	bǔ	bǔ(14)
U+5575	啵	bo	bo	
U+5623	嘣	bēng	bēng	
U+5742	坂	bǎn	bǎn	
U+574C	坌	bèn	bèn	
U+5752	坒	bì	bì	
U+575D	坝	bà	bà	bà(24)
U+57D4	埔	bù,pǔ	bù	
U+57D7	埗	bù	bù	
U+57E0	埠	bù	bù	bù(12)
U+5821	堡	bǎo,bǔ,pù	bǎo	bǎo(24)
U+585D	塝	bàng	bàng	
U+58C1	壁	bì	bì	bì(149)
U+5907	备	bèi	bèi	bèi(784)
U+5954	奔	bēn,bèn	bēn	bēn(135) bèn(19)
U+59A3	妣	bǐ	bǐ	
U+59AD	妭	bá	bá	
U+5A4A	婊	biǎo	biǎo	
U+5A62	婢	bì	bì	
U+5B16	嬖	bì	bì	
U+5B5B	孛	bèi	bèi	
U+5B62	孢	bāo	bāo	
U+5B9D	宝	bǎo	bǎo	bǎo(270)
U+5BBE	宾	bīn	bīn	bīn(9)
U+5C9C	岜	bā	bā	
U+5D29	崩	bēng	bēng	bēng(19)
U+5D93	嶓	bō	bō	
U+5DF4	巴	bā	bā	ba(207) bā(14)
U+5E01	币	bì	bì	bì(58)
U+5E03	布	bù	bù	bù(744)
U+5E1B	帛	bó	bó	
U+5E2E	帮	bāng	bāng	bāng(598)
