# Kranji phonic partition - initial: c
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 153
U+415F	䅟	cǎn	cǎn	
U+4E1B	丛	cóng	cóng	cóng(69)
U+4ECE	从	cóng	cóng	cóng(3708) cōng(25)
U+4ED3	仓	cāng	cāng	cāng(47)
U+4F27	伧	cāng	cāng	
U+4F3A	伺	cì,sì	cì	cì(24)
U+4F7D	佽	cì	cì	
U+4FA7	侧	cè	cè	cè(125)
U+4FC3	促	cù	cù	cù(140)
U+5072	偲	cāi	cāi	
U+50AC	催	cuī	cuī	cuī(41)
U+518C	册	cè	cè	cè(21)
U+51D1	凑	còu	còu	còu(69)
U+523A	刺	cī,cì	cì	cì(162)
U+5306	匆	cōng	cōng	cōng(124)
U+5395	厕	cè	cè	cè(10)
U+539D	厝	cuò	cuò	
U+53C2	参	cān,cēn,shēn	cān	cān(525) shēn(25)
U+5472	呲	cī	cī	
U+5550	啐	cuì	cuì	
U+5608	嘈	cáo	cáo	cáo(13)
U+564C	噌	cēng	cēng	
U+5693	嚓	cā,chā	cā	
U+56F1	囱	cōng	cōng	cōng(28)
U+5B58	存	cún	cún	cún(460)
U+5BF8	寸	cùn	cùn	cùn(63) cun(29)
U+5C42	层	céng	céng	céng(488)
U+5C91	岑	cén	cén	
U+5D14	崔	cuī	cuī	
U+5D6F	嵯	cuó	cuó	
U+5D92	嶒	céng	céng	
U+5F69	彩	cǎi	cǎi	cǎi(128) cai(10)
U+5F82	徂	cú	cú	
U+5FD6	忖	cǔn	cǔn	
U+607B	恻	cè	cè	
U+60B0	悰	cóng	cóng	
U+60B4	悴	cuì	cuì	
U+60E8	惨	cǎn	cǎn	cǎn(51)
U+60ED	惭	cán	cán	cán(24)
U+6148	慈	cí	cí	cí(20)
U+624D	才	cái	cái	cái(2108) cai(33)
U+632B	挫	cuò	cuò	cuò(33)
U+63AA	措	cuò	cuò	cuò(101)
U+6413	搓	cuō	cuō	cuō(23)
U+6467	摧	cuī	cuī	cuī(58)
U+64AE	撮	cuō,zuǒ	cuō	
U+64BA	撺	cuān	cuān	
U+64CD	操	cāo	cāo	cāo(133)
U+64E6	擦	cā	cā	cā(194)
U+66F9	曹	cáo	cáo	
U+66FE	曾	céng,zēng	céng	céng(387)
U+6750	材	cái	cái	cái(516) cai(9)
U+6751	村	cūn	cūn	cūn(806)
U+679E	枞	cōng,zōng	cōng	
U+68E4	棤	cuò	cuò	
U+69B1	榱	cuī	cuī	
U+69FD	槽	cáo	cáo	cáo(39)
U+6B21	次	cì	cì	cì(1715)
U+6B64	此	cǐ	cǐ	cǐ(1111)
U+6B82	殂	cú	cú	
U+6B8B	残	cán	cán	cán(108)
U+6BF3	毳	cuì	cuì	
U+6C46	汆	cuān	cuān	
U+6CA7	沧	cāng	cāng	
U+6CDA	泚	cǐ	cǐ	
U+6D4B	测	cè	cè	cè(227)
U+6D94	涔	cén	cén	
U+6DD9	淙	cóng	cóng	
U+6DEC	淬	cuì	cuì	
U+6F15	漕	cáo	cáo	
