# Kranji phonic partition - initial: ch
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 354
U+3B1A	㬚	chè	chè	
U+3CD8	㳘	chōng	chōng	
U+4759	䝙	chū	chū	
U+48BA	䢺	chū	chū	
U+4CA0	䲠	chūn	chūn	
U+4E11	丑	chǒu	chǒu	chǒu(31)
U+4E1E	丞	chéng	chéng	
U+4E32	串	chuàn	chuàn	chuàn(104)
U+4E58	乘	chéng	chéng	chéng(106)
U+4E8D	亍	chù	chù	
U+4EA7	产	chǎn	chǎn	chǎn(4099)
U+4EC7	仇	chóu,qiú	chóu	chóu(71)
U+4F20	传	chuán,zhuàn	chuán	chuán(704) zhuàn(12)
U+4F25	伥	chāng	chāng	
U+4F88	侈	chǐ	chǐ	
U+4F98	侘	chà	chà	
U+4FAA	侪	chái	chái	
U+4FB4	侴	chǒu	chǒu	
U+4FE6	俦	chóu	chóu	
U+4FF6	俶	chù	chù	
U+5015	倕	chuí	chuí	
U+5021	倡	chàng	chàng	chàng(55)
U+5041	偁	chēng	chēng	
U+507F	偿	cháng	cháng	cháng(11)
U+50A8	储	chǔ	chǔ	chǔ(25)
U+50BA	傺	chì	chì	
U+5133	儳	chán	chán	
U+5145	充	chōng	chōng	chōng(375)
U+5181	冁	chǎn	chǎn	
U+51B2	冲	chōng,chòng	chōng	chōng(428) chòng(33)
U+51FA	出	chū	chū	chū(6753)
U+520D	刍	chú	chú	
U+521B	创	chuāng,chuàng	chuàng	chuàng(435) chuāng(13)
U+521D	初	chū	chū	chū(405)
U+522C	刬	chàn	chàn	
U+5382	厂	chǎng	chǎng	chǎng(731)
U+53A8	厨	chú	chú	chú(48)
U+53C9	叉	chā,chá,chǎ,chà	chā	
U+53F1	叱	chì	chì	
U+5403	吃	chī	chī	chī(1684)
U+5435	吵	chāo,chǎo	chǎo	chǎo(85)
U+5439	吹	chuī	chuī	chuī(239)
U+5448	呈	chéng	chéng	chéng(40)
U+54E7	哧	chī	chī	chī(35)
U+5507	唇	chún	chún	chún(97)
U+5531	唱	chàng	chàng	chàng(433)
U+555C	啜	chuài,chuò	chuài	
U+5574	啴	chǎn	chǎn	
U+557B	啻	chì	chì	
U+5598	喘	chuǎn	chuǎn	chuǎn(76)
U+55D4	嗔	chēn	chēn	
U+55E4	嗤	chī	chī	
U+5632	嘲	cháo	cháo	cháo(28)
U+5647	噇	chuáng	chuáng	
U+570C	圌	chuí	chuí	
U+573A	场	cháng,chǎng	chǎng	chǎng(773) cháng(141)
U+577C	坼	chè	chè	
U+5782	垂	chuí	chuí	chuí(88)
U+579E	垞	chá	chá	
U+57CE	城	chéng	chéng	chéng(592)
U+57D5	埕	chéng	chéng	
U+583E	堾	chūn	chūn	
U+584D	塍	chéng	chéng	
U+5880	墀	chí	chí	
U+5904	处	chǔ,chù	chù	chù(661) chǔ(357) chu(149)
U+59F9	姹	chà	chà	
U+5A3C	娼	chāng	chāng	
U+5A75	婵	chán	chán	
U+5AB8	媸	chī	chī	
U+5AE6	嫦	cháng	cháng	
U+5B71	孱	chán	chán	
U+5BA0	宠	chǒng	chǒng	
U+5BAC	宬	chéng	chéng	
U+5BB8	宸	chén	chén	
U+5BDF	察	chá	chá	chá(288)
U+5C18	尘	chén	chén	chén(81)
U+5C1D	尝	cháng	cháng	cháng(38)
U+5C3A	尺	chě,chǐ	chǐ	chǐ(124)
U+5C94	岔	chà	chà	
U+5D07	崇	chóng	chóng	chóng(55)
U+5D56	嵖	chá	chá	
U+5DC9	巉	chán	chán	
U+5DDD	川	chuān	chuān	
U+5DE2	巢	cháo	cháo	cháo(28)
U+5DEE	差	chā,chà,chāi,cī	chà	chà(241) chā(60) chāi(26)
U+5E31	帱	chóu,dào	chóu	
U+5E38	常	cháng	cháng	cháng(1760)
U+5E62	幢	chuáng,zhuàng	chuáng	
U+5E8A	床	chuáng	chuáng	chuáng(379)
U+5EB1	庱	chěng	chěng	
U+5EDB	廛	chán	chán	
U+5F1B	弛	chí	chí	
U+5F28	弨	chāo	chāo	
U+5F73	彳	chì	chì	
U+5F7B	彻	chè	chè	chè(257)
U+5F9C	徜	cháng	cháng	
U+5FCF	忏	chàn	chàn	
U+5FE1	忡	chōng	chōng	
U+5FF1	忱	chén	chén	chén(12)
