# Kranji phonic partition - initial: d
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 384
U+364D	㙍	duō	duō	
U+40C5	䃅	dī	dī	
U+45D6	䗖	dì	dì	
U+4E01	丁	dīng	dīng	dīng(16)
U+4E1C	东	dōng	dōng	dōng(1601)
U+4E22	丢	diū	diū	diū(144)
U+4E39	丹	dān	dān	dān(31) dan(11)
U+4EB6	亶	dǎn	dǎn	
U+4EB8	亸	duǒ	duǒ	
U+4EC3	仃	dīng	dīng	
U+4EE3	代	dài	dài	dài(1881)
U+4F43	佃	diàn	diàn	diàn(12)
U+4F46	但	dàn	dàn	dàn(2345)
U+4F4E	低	dī	dī	dī(664)
U+4F97	侗	dòng	dòng	
U+5012	倒	dǎo,dào	dào	dào(530) dǎo(365)
U+50A3	傣	dǎi	dǎi	
U+510B	儋	dān	dān	
U+5151	兑	duì	duì	
U+515A	党	dǎng	dǎng	dǎng(2652)
U+515C	兜	dōu	dōu	dōu(43)
U+5178	典	diǎn	diǎn	diǎn(98)
U+51AC	冬	dōng	dōng	dōng(272)
U+51BB	冻	dòng	dòng	dòng(133)
U+51CB	凋	diāo	diāo	
U+51F3	凳	dèng	dèng	dèng(87)
U+51FC	凼	dàng	dàng	
U+5200	刀	dāo	dāo	dāo(284)
U+5201	刁	diāo	diāo	
U+5230	到	dào	dào	dào(10331) dao(18)
U+5241	剁	duò	duò	
U+525F	剟	duō	duō	
U+52A8	动	dòng	dòng	dòng(5030)
U+5355	单	chán,dān,shàn	dān	dān(603)
U+53BE	厾	dū	dū	
U+53C7	叇	dài	dài	
U+53E0	叠	dié	dié	dié(39)
U+53E8	叨	dāo,dáo,tāo	dāo	
U+53EE	叮	dīng	dīng	dīng(38)
U+53FC	叼	diāo	diāo	diāo(16)
