# Kranji phonic partition - initial: f
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 235
U+356E	㕮	fǔ	fǔ	
U+3CC7	㳇	fù	fù	
U+4E30	丰	fēng	fēng	fēng(264)
U+4E4F	乏	fá	fá	fá(103)
U+4ED8	付	fù	fù	fù(83) fu(77)
U+4EFD	份	fèn	fèn	fèn(147) fen(31)
U+4EFF	仿	fǎng	fǎng	fǎng(273)
U+4F0F	伏	fú	fú	fú(100)
U+4F10	伐	fá	fá	fá(52)
U+4F5B	佛	fó,fú	fú	fú(252)
U+4FD8	俘	fú	fú	fú(31)
U+4FEF	俯	fǔ	fǔ	fǔ(22)
U+4FF8	俸	fèng	fèng	
U+507E	偾	fèn	fèn	
U+5085	傅	fù	fù	fu(201)
U+51AF	冯	féng	féng	
U+51E1	凡	fán	fán	fán(135)
U+51E4	凤	fèng	fèng	fèng(16)
U+51EB	凫	fú	fú	fú(12)
U+5206	分	fēn,fèn	fēn	fēn(2405) fèn(559) fen(532)
U+5255	剕	fèi	fèi	
U+526F	副	fù	fù	fù(313)
U+5310	匐	fú	fú	
U+532A	匪	fěi	fěi	fěi(118)
U+53CD	反	fǎn	fǎn	fǎn(2114)
U+53D1	发	fā,fà	fā	fā(4834) fa(174) fà(80)
U+5420	吠	fèi	fèi	
U+5426	否	fǒu,pǐ	fǒu	fǒu(230)
U+5429	吩	fēn	fēn	fēn(48)
U+544B	呋	fū	fū	
U+5490	咐	fù	fù	fu(72)
U+552A	唪	fěng	fěng	
U+5561	啡	fēi	fēi	fēi(9)
U+574A	坊	fāng,fáng	fāng	fang(11)
U+574B	坋	fèn	bèn	
U+575F	坟	fén	fén	fén(46)
U+57A1	垡	fá	fá	
U+57BA	垺	fú	fú	
U+58A6	墦	fán	fán	
U+590D	复	fù	fù	fù(558)
U+592B	夫	fū	fū	fu(396) fū(102)
U+5949	奉	fèng	fèng	fèng(25)
U+594B	奋	fèn	fèn	fèn(281)
U+5983	妃	fēi	fēi	
U+5987	妇	fù	fù	fù(321) fu(28)
U+59A8	妨	fáng	fáng	fáng(22) fāng(13)
U+5B5A	孚	fú	fú	
U+5B75	孵	fū	fū	fū(21)
U+5BCC	富	fù	fù	fù(314)
U+5C01	封	fēng	fēng	fēng(400)
U+5CF0	峰	fēng	fēng	fēng(94)
U+5D36	崶	fēng	fēng	
U+5E06	帆	fān	fān	fān(22)
U+5E45	幅	fú	fú	fú(122)
U+5E5E	幞	fú	fú	
U+5E61	幡	fān	fān	
U+5E9C	府	fǔ	fǔ	fǔ(432)
U+5E9F	废	fèi	fèi	fèi(111)
U+5F17	弗	fú	fú	
U+5FFF	忿	fèn	fèn	fèn(97)
U+602B	怫	fú	fú	
U+60B1	悱	fěi	fěi	
U+6124	愤	fèn	fèn	fèn(159)
U+623F	房	fáng	fáng	fáng(708)
U+6249	扉	fēi	fēi	
U+6276	扶	fú	fú	fú(67)
U+629A	抚	fǔ	fǔ	fǔ(13)
U+62C2	拂	fú	fú	
U+62CA	拊	fǔ	fǔ	
