# Kranji phonic partition - initial: g
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 345
U+3B4E	㭎	gāng	gāng	
U+3F4F	㽏	gàn	gàn	
U+48BC	䢼	gōng	gōng	
U+4E10	丐	gài	gài	
U+4E2A	个	gě,gè	gè	gè(11693) ge(1891) gě(18)
U+4E56	乖	guāi	guāi	guāi(19)
U+4E98	亘	gèn	gèn	
U+4EE1	仡	gē	gē	
U+4F30	估	gū,gù	gū	gū(67)
U+4F5D	佝	gōu	gōu	
U+4F9B	供	gōng,gòng	gōng	gōng(305) gòng(11)
U+500C	倌	guān	guān	
U+5149	光	guāng	guāng	guāng(1636)
U+516C	公	gōng	gōng	gōng(1289)
U+5171	共	gòng	gòng	gòng(1298)
U+5173	关	guān	guān	guān(1758)
U+5188	冈	gāng	gāng	gāng(37)
U+51A0	冠	guān,guàn	guān	
U+51AE	冮	gāng	gāng	
U+521A	刚	gāng	gāng	gāng(873)
U+522E	刮	guā	guā	guā(105)
U+523D	刽	guì	guì	
U+523F	刿	guì	guì	
U+5250	剐	guǎ	guǎ	
U+5272	割	gē	gē	gē(128)
U+529F	功	gōng	gōng	gōng(381)
U+52FE	勾	gōu,gòu	gōu	gōu(42)
U+5326	匦	guǐ	guǐ	
U+5366	卦	guà	guà	
U+53E4	古	gǔ	gǔ	gǔ(440)
U+5404	各	gè	gè	gè(1806)
U+544A	告	gào	gào	gào(995)
U+5459	呙	guō	guō	
U+5471	呱	gū,guā	gū	
U+5495	咕	gū	gū	gu(14)
U+54A3	咣	guāng	guāng	
U+54AF	咯	gē,kǎ,lo,luò	gē	
U+54CF	哏	gén	gén	gén(56)
U+54E5	哥	gē	gē	gē(491) ge(217)
U+54FD	哽	gěng	gěng	gěng(12)
U+54FF	哿	gě	gě	
U+55DD	嗝	gé	gé	
U+560E	嘎	gā,gá,gǎ	gā	
U+560F	嘏	gǔ	gǔ	
U+5676	噶	gá	gá	
U+56FA	固	gù	gù	gù(326)
U+56FD	国	guó	guó	guó(6416)
U+572A	圪	gē	gē	
U+572D	圭	guī	guī	
U+5769	坩	gān	gān	
U+576C	坬	guà,wā	guà	
U+5793	垓	gāi	gāi	
U+5799	垙	guāng	guāng	
U+57A2	垢	gòu	gòu	
U+57C2	埂	gěng	gěng	
U+57DA	埚	guō	guō	
U+580C	堌	gù	gù	
U+583D	堽	gāng	gāng	
U+5865	塥	gé	gé	
U+591F	够	gòu	gòu	gòu(991)
U+592C	夬	guài	guài	
U+59AB	妫	guī	guī	
U+59D1	姑	gū	gū	gū(433) gu(24)
U+59E4	姤	gòu	gòu	
U+59FD	姽	guǐ	guǐ	
U+5ABE	媾	gòu	gòu	
U+5B64	孤	gū	gū	gū(54)
U+5B84	宄	guǐ	guǐ	
U+5B98	官	guān	guān	guān(276)
U+5BAB	宫	gōng	gōng	gōng(73)
U+5BE1	寡	guǎ	guǎ	guǎ(28)
U+5C15	尕	gǎ	gǎ	
U+5C1C	尜	gá	gá	
U+5C2C	尬	gà	gà	
U+5C34	尴	gān	gān	
U+5C97	岗	gāng,gǎng	gǎng	gǎng(59) gāng(11)
U+5CA3	岣	gǒu	gǒu	
U+5D1E	崞	guō	guō	
U+5D2E	崮	gù	gù	
U+5DE5	工	gōng	gōng	gōng(5185)
U+5DE9	巩	gǒng	gǒng	gǒng(125)
U+5E3C	帼	guó	guó	
U+5E72	干	gān,gàn	gàn	gàn(1464) gān(482)
U+5E7F	广	guǎng	guǎng	guǎng(628)
U+5E8B	庋	guǐ	guǐ	
U+5E9A	庚	gēng	gēng	
U+5F13	弓	gōng	gōng	gōng(36)
U+5F40	彀	gòu	gòu	
U+5F52	归	guī	guī	guī(93)
U+602A	怪	guài	guài	guài(410)
U+606D	恭	gōng	gōng	
U+60EF	惯	guàn	guàn	guàn(145)
U+611F	感	gǎn	gǎn	gǎn(978)
U+6206	戆	gàng,zhuàng	gàng	
U+6208	戈	gē	gē	
U+6224	戤	gài	gài	
U+62D0	拐	guǎi	guǎi	guǎi(24)
U+62F1	拱	gǒng	gǒng	gǒng(78)
U+6302	挂	guà	guà	guà(270)
U+63B4	掴	guāi	guāi	
U+63BC	掼	guàn	guàn	
U+6401	搁	gē,gé	gē	gē(51) ge(9)
U+641E	搞	gǎo	gǎo	gǎo(434)
U+64C0	擀	gǎn	gǎn	
U+6539	改	gǎi	gǎi	gǎi(1090)
U+653B	攻	gōng	gōng	gōng(313)
U+6545	故	gù	gù	gù(416)
U+6562	敢	gǎn	gǎn	gǎn(483)
U+65EE	旮	gā	gā	
U+65F0	旰	gàn	gàn	
U+6650	晐	gāi	gāi	
U+6677	晷	guǐ	guǐ	
U+6685	暅	gèng	gèng	
U+66F4	更	gēng,gèng	gèng	gèng(1405) gēng(27)
U+6746	杆	gān,gǎn	gān	gān(82) gǎn(54)
U+6760	杠	gàng	gàng	
U+6772	杲	gǎo	gǎo	
U+6784	构	gòu	gòu	gòu(317)
U+679C	果	guǒ	guǒ	guǒ(1655)
U+67B8	枸	gōu,gǒu,jǔ	gǒu	
U+67D1	柑	gān	gān	
U+67DC	柜	guì,jǔ	guì	guì(102)
U+681D	栝	guā	guā	
U+6839	根	gēn	gēn	gēn(1232)
U+683C	格	gé	gé	gé(288) ge(29)
U+6842	桂	guì	guì	
U+6844	桄	guāng,guàng	guāng	
U+6867	桧	guì,huì	guì	
U+688F	梏	gù	gù	
U+6897	梗	gěng	gěng	gěng(18)
U+68CD	棍	gùn	gùn	gùn(74)
U+68FA	棺	guān	guān	guān(9)
U+6901	椁	guǒ	guǒ	
U+6982	概	gài	gài	gài(287)
U+6996	榖	gǔ	gǔ	
U+69C1	槁	gǎo	gǎo	
U+69D4	槔	gāo	gāo	
U+6A44	橄	gǎn	gǎn	
U+6B4C	歌	gē	gē	gē(344) ge(11)
U+6BC2	毂	gǔ	gǔ	
U+6BCC	毌	guàn	guàn	
U+6C5E	汞	gǒng	gǒng	gǒng(22)
U+6C69	汩	gǔ	gǔ	
U+6C9F	沟	gōu	gōu	gōu(136)
U+6CBD	沽	gū	gū	
U+6CD4	泔	gān	gān	
U+6D38	洸	guāng	guāng	
U+6D6D	浭	gēng	gēng	
U+6DAB	涫	guàn	guàn	
U+6DE6	淦	gàn	gàn	
U+6E2F	港	gǎng	gǎng	gǎng(51)
U+6E89	溉	gài	gài	gài(75)
U+6EC6	滆	gé	gé	
