# Kranji phonic partition - initial: h
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 412
U+360E	㘎	hǎn	hǎn	
U+39D1	㧑	huī	huī	
U+3B0A	㬊	huǎn	huǎn	
U+3E0C	㸌	huò	huò	
U+3FE0	㿠	huàng	huàng	
U+4E4E	乎	hū	hū	hu(304) hū(284)
U+4E92	互	hù	hù	hù(288)
U+4EA5	亥	hài	hài	
U+4EA8	亨	hēng	hēng	
U+4F19	伙	huǒ	huǒ	huǒ(402) huo(117)
U+4F1A	会	huì,kuài	huì	huì(6866) kuài(9)
U+4F55	何	hé	hé	hé(691)
U+4F78	佸	huó	huó	
U+4FAF	侯	hóu,hòu	hóu	
U+5019	候	hòu	hòu	hou(2060) hòu(300)
U+51B1	冱	hù	hù	
U+51F0	凰	huáng	huáng	huáng(16)
U+51FD	函	hán	hán	
U+5212	划	huá,huà	huà	huà(438) huá(68)
U+5290	劐	huō	huō	
U+52BE	劾	hé	hé	
U+5316	化	huà	huà	huà(2148)
U+5349	卉	huì	huì	
U+534E	华	huá,huà	huá	huá(29)
U+539A	厚	hòu	hòu	hòu(202)
U+53F7	号	háo,hào	hào	hào(462) hao(16) háo(12)
U+5408	合	gě,hé	hé	hé(1585)
U+540E	后	hòu	hòu	hòu(4342)
U+542B	含	hán	hán	hán(320)
U+543C	吼	hǒu	hǒu	hǒu(63)
U+543D	吽	hōng	hōng	
U+5475	呵	hē	hē	ā(392) hē(64)
U+547C	呼	hū	hū	hū(378) hu(107)
U+548C	和	hé,hè,hú,huó,huò,huo	hé	hé(9513) huo(38) he(24) hè(9)
U+548D	咍	hāi	hāi	
U+54B3	咳	hāi,ké	hāi	hāi(46) ké(39)
U+54B4	咴	huī	huī	
U+54C4	哄	hōng,hǒng,hòng	hōng	hōng(26) hǒng(14)
U+54C8	哈	hā,hǎ,hà	hā	hā(228)
U+54D5	哕	huì,yuě	huì	
U+54D7	哗	huā,huá	huā	huā(54)
U+54FC	哼	hēng	hēng	hēng(147)
U+551D	唝	hǒng	hǒng	
U+5524	唤	huàn	huàn	huàn(57) huan(35)
U+552C	唬	hǔ	hǔ	hu(14)
U+553F	唿	hū	hū	
U+5589	喉	hóu	hóu	hóu(51)
U+558A	喊	hǎn	hǎn	hǎn(464)
U+5599	喙	huì	huì	
U+559D	喝	hē,hè	hē	hē(340) he(37) hè(19)
U+55A4	喤	huáng	huáng	
U+55D0	嗐	hài	hài	hài(14)
U+55E5	嗥	háo	háo	
U+55E8	嗨	hāi	hāi	hāi(31)
U+55EC	嗬	hē	hē	hē(13)
U+563F	嘿	hēi	hēi	hēi(76)
U+5684	嚄	huō	huō	
U+5686	嚆	hāo	hāo	
U+568E	嚎	háo	háo	
U+56AF	嚯	huò	huò	
U+56DE	回	huí	huí	huí(2949)
U+56EB	囫	hú	hú	
U+571C	圜	huán,yuán	huán	
U+574F	坏	huài	huài	huài(615)
U+578E	垎	hè	hè	
U+5795	垕	hòu	hòu	
U+57BE	垾	hàn	hàn	
U+5820	堠	hòu	hòu	
U+583C	堼	hèng	hèng	
U+58D1	壑	hè	hè	
U+58D5	壕	háo	háo	háo(28)
U+58F6	壶	hú	hú	hú(47)
U+5925	夥	huǒ	huǒ	
U+592F	夯	hāng	hāng	
U+5942	奂	huàn	huàn	
U+597D	好	hǎo,hào	hǎo	hǎo(6060) hāo(142) hào(115)
U+59EE	姮	héng	héng	
U+5A5A	婚	hūn	hūn	hūn(89)
U+5A73	婳	huà	huà	
U+5A93	媓	huáng	huáng	
U+5AED	嫭	hù	hù	
U+5B69	孩	hái	hái	hái(1235)
U+5B8F	宏	hóng	hóng	hóng(31)
U+5BA6	宦	huàn	huàn	
U+5BB3	害	hài	hài	hài(553) hai(107)
U+5BD2	寒	hán	hán	hán(145)
U+5BF0	寰	huán	huán	
U+5CB5	岵	hù	hù	
U+5CD8	峘	huán	huán	
U+5D21	崡	hán	hán	
U+5D45	嵅	hán	hán	
U+5E4C	幌	huǎng	huǎng	
U+5E7B	幻	huàn	huàn	huàn(62)
U+5F18	弘	hóng	hóng	
U+5F27	弧	hú	hú	
U+5F57	彗	huì	huì	
U+5F88	很	hěn	hěn	hěn(3637)
U+5F8A	徊	huái	huái	huái(17)
U+5FA8	徨	huáng	huáng	
U+5FBD	徽	huī	huī	
U+5FFD	忽	hū	hū	hū(535)
U+6000	怀	huái	huái	huái(281)
U+6019	怙	hù	hù	
U+604D	恍	huǎng	huǎng	huǎng(24)
U+6052	恒	héng	héng	héng(40)
U+605A	恚	huì	huì	
U+6062	恢	huī	huī	huī(111)
U+6068	恨	hèn	hèn	hèn(131)
U+608D	悍	hàn	hàn	
U+6094	悔	huǐ	huǐ	huǐ(39)
U+60A3	患	huàn	huàn	huàn(53)
U+60D1	惑	huò	huò	huò(12) huo(11)
