# Kranji phonic partition - initial: j
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 629
U+36C3	㛃	jié	jié	
U+3807	㠇	jiù	jiù	
U+3D14	㴔	jí	jí	
U+3D50	㵐	jué	jué	
U+4339	䌹	jiǒng	jiǒng	
U+4403	䐃	jùn	jùn	
U+4D14	䴔	jiāo	jiāo	
U+4D16	䴖	jīng	jīng	
U+4D17	䴗	jú	jú	
U+4E3E	举	jǔ	jǔ	jǔ(541) ju(8)
U+4E45	久	jiǔ	jiǔ	jiǔ(467)
U+4E5D	九	jiǔ	jiǔ	jiǔ(1453)
U+4E69	乩	jī	jī	
U+4E95	井	jǐng	jǐng	jǐng(147)
U+4E9F	亟	jí,qì	jí	
U+4EA4	交	jiāo	jiāo	jiāo(642)
U+4EAC	京	jīng	jīng	
U+4EC5	仅	jǐn	jǐn	jǐn(402)
U+4ECA	今	jīn	jīn	jīn(1239)
U+4ECB	介	jiè	jiè	jiè(156)
U+4EF6	件	jiàn	jiàn	jiàn(1163)
U+4EF7	价	jià,jie	jià	jià(430)
U+4F0B	伋	jí	jí	
U+4F0E	伎	jì	jì	
U+4F3D	伽	gā,jiā,qié	jiā	
U+4F73	佳	jiā	jiā	jiā(21)
U+4F76	佶	jí	jí	
U+4F7C	佼	jiǎo	jiǎo	
U+4FA5	侥	jiǎo,yáo	jiǎo	
U+4FCA	俊	jùn	jùn	
U+4FED	俭	jiǎn	jiǎn	jiǎn(9)
U+4FF1	俱	jū,jù	jù	jù(18)
U+5014	倔	jué,juè	jué	
U+501E	倞	jìng	jìng	
U+501F	借	jiè	jiè	jiè(204)
U+5026	倦	juàn	juàn	juàn(28)
U+5028	倨	jù	jù	
U+5047	假	jiǎ,jià	jiǎ	jiǎ(222) jià(44)
U+5048	偈	jì	jì	
U+5065	健	jiàn	jiàn	jiàn(142)
U+5095	傕	jué	jué	
U+50E6	僦	jiù	jiù	
U+50EC	僬	jiāo	jiāo	
U+50ED	僭	jiàn	jiàn	
U+50F5	僵	jiāng	jiāng	jiāng(34)
U+5106	儆	jǐng	jǐng	
U+5162	兢	jīng	jīng	
U+5177	具	jù	jù	jù(705) ju(30)
U+517C	兼	jiān	jiān	jiān(40)
U+5180	冀	jì	jì	
U+518F	冏	jiǒng	jiǒng	
U+519B	军	jūn	jūn	jūn(1842)
U+51B3	决	jué	jué	jué(1503)
U+51C0	净	jìng	jìng	jìng(152)
U+51CF	减	jiǎn	jiǎn	jiǎn(300)
U+51E0	几	jī,jǐ	jǐ	jǐ(2523) jī(216)
U+51FB	击	jī	jī	jī(644)
U+522D	刭	jǐng	jǐng	
U+5242	剂	jì	jì	jì(79)
U+5251	剑	jiàn	jiàn	jiàn(79)
U+525E	剞	jī	jī	
U+5267	剧	jù	jù	jù(123)
U+526A	剪	jiǎn	jiǎn	jiǎn(39)
U+527F	剿	jiǎo	jiǎo	jiǎo(25)
U+5282	劂	jué	jué	
U+52A0	加	jiā	jiā	jiā(1861)
U+52AB	劫	jié	jié	
U+52B2	劲	jìn,jìng	jìn	jìn(294)
U+52BC	劼	jié	jié	
U+5320	匠	jiàng	jiàng	jiang(70) jiàng(16)
U+5373	即	jí	jí	jí(511)
U+5377	卷	juǎn,juàn	juǎn	juǎn(115) juàn(14)
U+537A	卺	jǐn	jǐn	
U+53A5	厥	jué	jué	
U+53A9	厩	jiù	jiù	
U+53CA	及	jí	jí	jí(721)
U+53E5	句	gōu,jù	jù	jù(624)
U+53EB	叫	jiào	jiào	jiào(2238)
U+53FD	叽	jī	jī	
U+5409	吉	jí	jí	jí(13)
U+541B	君	jūn	jūn	jūn(34)
U+5480	咀	jǔ,zuǐ	jǔ	jǔ(15)
U+548E	咎	jiù	jiù	
U+5527	唧	jī	jī	
U+557E	啾	jiū	jiū	jiū(32)
U+5588	喈	jiē	jiē	
U+55DF	嗟	jiē	jiē	
U+5609	嘉	jiā	jiā	
U+564D	噍	jiào	jiào	
U+5658	噘	juē	juē	
U+5664	噤	jìn	jìn	
U+56BC	嚼	jiáo,jiào,jué	jué	jué(15)
U+573E	圾	jī	jī	jī(38)
U+5747	均	jūn	jūn	jūn(204)
U+575A	坚	jiān	jiān	jiān(695)
U+5770	坰	jiōng	jiōng	
U+578D	垍	jì	jì	
U+57FA	基	jī	jī	jī(895)
U+5807	堇	jǐn	jǐn	
U+5832	堲	jí	jí	
U+5883	境	jìng	jìng	jìng(280)
U+5890	墐	jìn	jìn	
U+58BC	墼	jī	jī	
U+5939	夹	gā,jiā,jiá	jiā	jiā(95) jiá(23)
U+5956	奖	jiǎng	jiǎng	jiǎng(69)
U+5978	奸	jiān	jiān	jiān(20)
U+5993	妓	jì	jì	
U+5997	妗	jìn	jìn	
U+59D0	姐	jiě	jiě	jie(237) jiě(180)
U+59DC	姜	jiāng	jiāng	jiāng(13)
U+59DE	姞	jí	jí	
U+59E3	姣	jiāo	jiāo	
U+59EC	姬	jī	jī	
U+5A07	娇	jiāo	jiāo	jiāo(12)
U+5A1F	娟	juān	juān	
U+5A35	娵	jū	jū	
U+5A55	婕	jié	jié	
U+5A67	婧	jìng	jìng	
U+5AC1	嫁	jià	jià	jià(54)
U+5AC9	嫉	jí	jí	
U+5B51	孑	jié	jié	
U+5B53	孓	jué	jué	
U+5B63	季	jì	jì	jì(238)
U+5BB6	家	jiā,jia	jiā	jiā(4719) jia(461)
U+5BC2	寂	jì	jì	jì(64)
U+5BC4	寄	jì	jì	jì(101)
U+5C06	将	jiāng,jiàng	jiāng	jiāng(1194) jiàng(42)
U+5C16	尖	jiān	jiān	jiān(168)
U+5C31	就	jiù	jiù	jiù(11223)
U+5C3D	尽	jǐn,jìn	jǐn	jǐn(212) jìn(166)
U+5C40	局	jú	jú	jú(505)
U+5C45	居	jū	jū	jū(184)
U+5C4A	届	jiè	jiè	jiè(70)
U+5C50	屐	jī	jī	
U+5C66	屦	jù	jù	
U+5C8A	岊	jié	jié	
U+5C8C	岌	jí	jí	
