# Kranji phonic partition - initial: k
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 229
U+39DF	㧟	kuǎi	kuǎi	
U+3E06	㸆	kào	kào	
U+4E8F	亏	kuī	kuī	kuī(71)
U+4EA2	亢	kàng	kàng	
U+4F09	伉	kàng	kàng	
U+4F83	侃	kǎn	kǎn	
U+4F89	侉	kuǎ	kuǎ	
U+4FA9	侩	kuài	kuài	
U+5025	倥	kǒng	kǒng	
U+5080	傀	kuǐ	kuǐ	
U+514B	克	kè	kè	kè(172)
U+51B5	况	kuàng	kuàng	kuàng(719)
U+51EF	凯	kǎi	kǎi	
U+520A	刊	kān	kān	kān(50)
U+5233	刳	kū	kū	
U+523B	刻	kè	kè	kè(653)
U+5240	剀	kǎi	kǎi	
U+524B	剋	kēi	kēi	
U+52D8	勘	kān	kān	kān(13)
U+5321	匡	kuāng	kuāng	
U+532E	匮	kuì	kuì	
U+533C	匼	kē	kē	
U+5361	卡	kǎ,qiǎ	kǎ	kǎ(28)
U+53E3	口	kǒu	kǒu	kǒu(1647) kou(74)
U+53E9	叩	kòu	kòu	
U+53EF	可	kě,kè	kě	kě(6054)
U+542D	吭	háng,kēng	kēng	kēng(10)
U+5494	咔	kā,kǎ	kā	
U+5496	咖	gā,kā	kā	kā(9)
U+54D0	哐	kuāng	kuāng	
U+54D9	哙	kuài	kuài	
U+54ED	哭	kū	kū	kū(373)
U+5543	啃	kěn	kěn	kěn(17)
U+5580	喀	kā	kā	
U+559F	喟	kuì	kuì	
U+55B9	喹	kuí	kuí	
U+55BE	喾	kù	kù	
U+55D1	嗑	kē,kè	kē	
U+56F0	困	kùn	kùn	kùn(386)
U+5710	圐	kū	kū	
U+5739	圹	kuàng	kuàng	
U+574E	坎	kǎn	kǎn	kǎn(10)
U+5751	坑	kēng	kēng	kēng(90)
U+5757	块	kuài	kuài	kuài(929)
U+5764	坤	kūn	kūn	
U+5777	坷	kē,kě	kě	
U+57A6	垦	kěn	kěn	kěn(10)
U+57AE	垮	kuǎ	kuǎ	kuǎ(38)
U+57B2	垲	kǎi	kǎi	
U+57EA	埪	kōng	kōng	
U+5803	堃	kūn	kūn	
U+582A	堪	kān	kān	kān(29)
U+5888	墈	kàn	kàn	
U+58F3	壳	ké,qiào	ké	ké(67) qiào(30)
U+58F8	壸	kǔn	kǔn	
U+5914	夔	kuí	kuí	
U+5938	夸	kuā	kuā	kuā(43)
U+593C	夼	kuǎng	kuǎng	
U+594E	奎	kuí	kuí	
U+59F1	姱	kuā	kuā	
U+5A6B	婫	kūn	kūn	
U+5B54	孔	kǒng	kǒng	kǒng(180)
U+5BA2	客	kè	kè	kè(569)
U+5BBD	宽	kuān	kuān	kuān(185)
U+5BC7	寇	kòu	kòu	kòu(19)
U+5C3B	尻	kāo	kāo	
U+5CA2	岢	kě	kě	
U+5CBF	岿	kuī	kuī	
U+5D01	崁	kàn	kàn	
U+5D06	崆	kōng	kōng	
U+5D41	嵁	kān	kān	
U+5E93	库	kù	kù	kù(91)
U+5EB7	康	kāng	kāng	kāng(78)
U+5ED3	廓	kuò	kuò	kuò(22)
U+5F00	开	kāi	kāi	kāi(3483)
U+5FEB	快	kuài	kuài	kuài(1536) kuai(77)
U+5FFE	忾	kài	kài	
U+6050	恐	kǒng	kǒng	kǒng(109)
U+606A	恪	kè	kè	
U+6073	恳	kěn	kěn	kěn(64)
U+607A	恺	kǎi	kǎi	
U+6083	悃	kǔn	kǔn	
U+609D	悝	kuī	kuī	
U+6126	愦	kuì	kuì	
U+6127	愧	kuì	kuì	kuì(37)
U+6168	慨	kǎi	kǎi	kǎi(33)
U+6177	慷	kāng	kāng	kāng(13)
U+6221	戡	kān	kān	
U+6223	戣	kuí	kuí	
U+625B	扛	gāng,káng	káng	káng(46)
U+6263	扣	kòu	kòu	kòu(62)
U+6269	扩	kuò	kuò	kuò(159)
U+6297	抗	kàng	kàng	kàng(663)
U+62A0	抠	kōu	kōu	
U+62EC	括	kuò	kuò	kuò(171)
U+62F7	拷	kǎo	kǎo	
U+630E	挎	kuà	kuà	kuà(16)
U+6346	捆	kǔn	kǔn	kǔn(67)
U+63A7	控	kòng	kòng	kòng(191)
U+63C6	揆	kuí	kuí	
U+63E9	揩	kāi	kāi	kāi(12)
U+65F7	旷	kuàng	kuàng	kuàng(14)
U+6606	昆	kūn	kūn	kūn(72)
U+668C	暌	kuí	kuí	
U+67AF	枯	kū	kū	kū(34)
U+67EF	柯	kē	kē	
U+6832	栲	kǎo	kǎo	
U+6846	框	kuàng	kuàng	kuāng(21) kuàng(14)
U+68F5	棵	kē	kē	kē(170)
U+6977	楷	jiē,kǎi	kǎi	
U+69DB	槛	jiàn,kǎn	kǎn	kǎn(15)
U+6AC6	櫆	kuí	kuí	
U+6B3E	款	kuǎn	kuǎn	kuǎn(65)
U+6C2A	氪	kè	kè	
U+6D18	洘	kǎo	kǎo	
U+6D2D	洭	kuāng	kuāng	
U+6E34	渴	kě	kě	kě(48)
U+6E83	溃	huì,kuì	kuì	kuì(10)
U+6E98	溘	kè	kè	
U+708C	炌	kài	kài	
U+7095	炕	kàng	kàng	kàng(87)
U+70A3	炣	kě	kě	
U+70E4	烤	kǎo	kǎo	kǎo(36)
U+711C	焜	kūn	kūn	
U+7143	煃	kuǐ	kuǐ	
U+7241	牁	kē	kē	
U+7292	犒	kào	kào	
U+72C2	狂	kuáng	kuáng	kuáng(101)
U+72EF	狯	kuài	kuài	
U+73C2	珂	kē	kē	
U+7428	琨	kūn	kūn	
U+75B4	疴	kē	kē	
U+76D4	盔	kuī	kuī	kuī(26)
U+770B	看	kān,kàn	kàn	kàn(6042) kān(66)
U+770D	眍	kōu	kōu	
