# Kranji phonic partition - initial: l
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 578
U+3944	㥄	líng	líng	
U+3AF0	㫰	làng	làng	
U+3BBE	㮾	lǎng	lǎng	
U+3C00	㰀	lí	lí	
U+4056	䁖	lōu	lōu	
U+40AE	䂮	lüè	lüè	
U+4D15	䴕	liè	liè	
U+4E24	两	liǎng	liǎng	liǎng(3229)
U+4E34	临	lín	lín	lín(220)
U+4E3D	丽	lí,lì	lì	lì(215)
U+4E50	乐	lè,yuè	lè	lè(283) yuè(54)
U+4E71	乱	luàn	luàn	luàn(357)
U+4E86	了	le,liǎo	le	le(30101) liǎo(654) liào(19)
U+4EAE	亮	liàng	liàng	liàng(415) liang(134)
U+4EC2	仂	lè	lè	
U+4ED1	仑	lún	lún	
U+4EE4	令	líng,lǐng,lìng	lìng	lìng(453)
U+4F26	伦	lún	lún	
U+4F36	伶	líng	líng	ling(15)
U+4F6C	佬	lǎo	lǎo	
U+4F8B	例	lì	lì	lì(369)
U+4FA3	侣	lǚ	lǚ	
U+4FCD	俍	liáng	liáng	
U+4FD0	俐	lì	lì	
U+4FDA	俚	lǐ	lǐ	
U+4FE9	俩	liǎ,liǎng	liǎ	liǎ(196)
U+4FEA	俪	lì	lì	
U+4FEB	俫	lái	lái	
U+502E	倮	luǒ	luǒ	
U+507B	偻	lóu,lǚ	lóu	
U+5088	傈	lì	lì	
U+50C7	僇	lù	lù	
U+50DA	僚	liáo	liáo	liáo(56)
U+5121	儡	lěi	lěi	
U+516D	六	liù	liù	liù(1035)
U+5170	兰	lán	lán	
U+51B7	冷	lěng	lěng	lěng(453)
U+51BD	冽	liè	liè	
U+51C9	凉	liáng,liàng	liáng	liáng(129)
U+51CC	凌	líng	líng	
U+51D3	凓	lì	lì	
U+51DB	凛	lǐn	lǐn	
U+5217	列	liè	liè	liè(270)
U+5218	刘	liú	liú	
U+5229	利	lì	lì	lì(1593) li(16)
U+5245	剅	lóu	lóu	
U+524C	剌	là	là	
U+529B	力	lì	lì	lì(2488) li(97)
U+52A3	劣	liè	liè	liè(26)
U+52B1	励	lì	lì	lì(93)
U+52B3	劳	láo	láo	láo(856)
U+52D2	勒	lè,lēi	lēi	lēi(13)
U+52E0	勠	lù	lù	
U+5362	卢	lú	lú	
U+5364	卤	lǔ	lǔ	
U+5375	卵	luǎn	luǎn	luǎn(87)
U+5386	历	lì	lì	lì(819)
U+5389	厉	lì	lì	lì(146)
U+5398	厘	lí	lí	lí(69)
U+53E6	另	lìng	lìng	lìng(476)
U+53FB	叻	lè	lè	
U+540F	吏	lì	lì	
U+5415	吕	lǚ	lǚ	
U+541D	吝	lìn	lìn	
U+5456	呖	lì	lì	
U+5464	呤	lìng	lìng	
U+5499	咙	lóng	lóng	lóng(26)
U+54A7	咧	liē,liě	liě	lie(53)
U+54E2	哢	lòng	lòng	
U+54E9	哩	lī,li	lī	li(225)
U+5520	唠	láo,lào	láo	
U+5533	唳	lì	lì	
U+5549	啉	lín	lín	
U+5566	啦	lā,la	la	la(967) lā(15)
U+5570	啰	luō,luó,luo	luō	
U+5577	啷	lāng	lāng	
U+5587	喇	lǎ	lǎ	lǎ(25)
U+55B1	喱	lí	lí	
U+55BD	喽	lóu,lou	lóu	lou(46)
U+561E	嘞	lei	lei	
U+5639	嘹	liáo	liáo	
U+565C	噜	lū	lū	
U+56F5	囵	lún	lún	
U+56F9	囹	líng	líng	
U+5719	圙	lüè	lüè	
U+575C	坜	lì	lì	
U+577D	坽	líng	líng	
U+5783	垃	lā	lā	lā(38)
U+5784	垄	lǒng	lǒng	lǒng(28)
U+5786	垆	lú	lú	
U+578F	垏	lǜ	lǜ	
U+5792	垒	lěi	lěi	lěi(28)
U+57CC	埌	làng	làng	
U+57D2	埒	liè	liè	
U+580E	堎	lèng	lèng	
U+5844	塄	léng	léng	
U+5871	塱	lǎng	lǎng	
U+589A	墚	liáng	liáng	
U+5941	奁	lián	lián	
U+59C8	姈	líng	líng	
U+59E5	姥	lǎo	lǎo	
U+5A04	娄	lóu	lóu	
U+5A08	娈	luán	luán	
U+5A0C	娌	lǐ	lǐ	
U+5A6A	婪	lán	lán	
U+5AD8	嫘	léi	léi	
U+5AE0	嫠	lí	lí	
U+5AEA	嫪	lào	lào	
U+5AFD	嫽	liáo	liáo	
U+5B6A	孪	luán	luán	
U+5BE5	寥	liáo	liáo	
U+5BEE	寮	liáo	liáo	
U+5C25	尥	liào	liào	
U+5C61	屡	lǚ	lǚ	
U+5C65	履	lǚ	lǚ	
U+5C9A	岚	lán	lán	
U+5CAD	岭	lǐng	lǐng	lǐng(70)
U+5CDB	峛	liè	liè	
U+5CE6	峦	luán	luán	luán(13)
U+5D00	崀	làng	làng	
U+5D02	崂	láo	láo	
U+5D03	崃	lái	lái	
U+5D1A	崚	léng	léng	
U+5D5D	嵝	lǒu	lǒu	
U+5D99	嶙	lín	lín	
U+5E18	帘	lián	lián	lián(53)
U+5E90	庐	lú	lú	
U+5EC9	廉	lián	lián	lián(13)
U+5ECA	廊	láng	láng	
U+5ED6	廖	liào	liào	
U+5EEA	廪	lǐn	lǐn	
U+5F55	录	lù	lù	lù(143)
U+5F8B	律	lǜ	lǜ	lǜ(439)
U+5F95	徕	lái	lái	
U+601C	怜	lián	lián	lián(111)
U+604B	恋	liàn	liàn	liàn(11)
U+60A2	悢	liàng	liàng	
U+6123	愣	lèng	lèng	lèng(58)
U+61AD	憭	liǎo	liǎo	
U+61D2	懒	lǎn	lǎn	lǎn(31)
U+61D4	懔	lǐn	lǐn	
U+622E	戮	lù	lù	
U+623E	戾	lì	lì	
U+62A1	抡	lūn	lūn	lūn(11)
U+62C9	拉	lā,lá	lā	lā(657) la(12)
U+62CE	拎	līn	līn	
U+62E2	拢	lǒng	lǒng	lǒng(62)
U+62E6	拦	lán	lán	lán(58)
U+631B	挛	luán	luán	
U+634B	捋	lǚ,luō	lǚ	
U+635E	捞	lāo	lāo	lāo(68)
U+6369	捩	liè	liè	
U+63A0	掠	lüè	lüè	lüè(62)
U+63B3	掳	lǔ	lǔ	
U+63FD	揽	lǎn	lǎn	
U+6402	搂	lōu,lǒu	lǒu	lǒu(25)
U+645E	摞	luò	luò	
U+6482	撂	liào	liào	liào(12)
U+64A9	撩	liāo,liáo	liāo	liāo(15)
U+64B8	撸	lū	lū	
U+64C2	擂	léi,lèi	léi	
U+655B	敛	liǎn	liǎn	
U+6593	斓	lán	lán	
U+6599	料	liào	liào	liào(980)
U+65C5	旅	lǚ	lǚ	lǚ(139)
U+65D2	旒	liú	liú	
U+65EF	旯	lá	lá	
U+6624	昤	líng	líng	
U+663D	昽	lóng	lóng	
U+667E	晾	liàng	liàng	liàng(12)
U+6717	朗	lǎng	lǎng	lǎng(56)
U+6738	朸	lì	lì	
U+674E	李	lǐ	lǐ	li(36)
U+6765	来	lái	lái	lái(14549)
U+6797	林	lín	lín	lín(341)
U+67A5	枥	lì	lì	
U+67C3	柃	líng	líng	
U+67F3	柳	liǔ	liǔ	liǔ(49)
U+680A	栊	lóng	lóng	
U+680C	栌	lú	lú	
