# Kranji phonic partition - initial: m
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 320
U+3813	㠓	méng	méng	
U+4E0F	丏	miǎn	miǎn	
U+4E48	么	me	me	me(8053)
U+4E5C	乜	miē,niè	miē	
U+4E70	买	mǎi	mǎi	mǎi(774)
U+4EA9	亩	mǔ	mǔ	mǔ(107)
U+4EEB	仫	mù	mù	
U+4EEC	们	mén,men	men	men(14950)
U+4F94	侔	móu	móu	
U+506D	偭	miǎn	miǎn	
U+514D	免	miǎn	miǎn	miǎn(193)
U+5192	冒	mào	mào	mào(187)
U+5195	冕	miǎn	miǎn	
U+51A5	冥	míng	míng	
U+52A2	劢	mài	mài	
U+52C9	勉	miǎn	miǎn	miǎn(37)
U+52D0	勐	měng	měng	
U+52D4	勔	miǎn	miǎn	
U+52DF	募	mù	mù	
U+5356	卖	mài	mài	mài(479) mai(51)
U+536F	卯	mǎo	mǎo	
U+5396	厖	máng	máng	
U+540D	名	míng	míng	míng(767)
U+5417	吗	má,mǎ,ma	ma	ma(1456) má(93)
U+5447	呇	mèn	mèn	
U+547D	命	mìng	mìng	mìng(2703)
U+54A9	咩	miē	miē	
U+54AA	咪	mī,mǐ	mī	
U+54DE	哞	mōu	mōu	
U+551B	唛	mài	mài	
U+55B5	喵	miāo	miāo	
U+561B	嘛	ma	ma	ma(246) má(93)
U+5627	嘧	mì	mì	
U+57CB	埋	mái,mán	mái	mái(90) mán(14)
U+5881	墁	màn	màn	
U+5893	墓	mù	mù	mù(23)
U+58A8	墨	mò	mò	mò(50)
U+5988	妈	mā	mā	mā(1288) ma(719)
U+5999	妙	miào	miào	miào(81)
U+59B9	妹	mèi	mèi	mèi(158) mei(100)
U+59C6	姆	mǔ	mǔ	mǔ(16)
U+5A29	娩	miǎn	miǎn	
U+5A84	媄	měi	měi	
U+5A92	媒	méi	méi	
U+5A9A	媚	mèi	mèi	
U+5ADA	嫚	mān,màn	mān	
U+5AEB	嫫	mó	mó	
U+5B37	嬷	mó	mó	
U+5B5F	孟	mèng	mèng	
U+5B93	宓	fú,mì	mì	
U+5BC6	密	mì	mì	mì(481)
U+5BD0	寐	mèi	mèi	
U+5BDE	寞	mò	mò	mò(35)
U+5C28	尨	máng	máng	
U+5CB7	岷	mín	mín	
U+5CC1	峁	mǎo	mǎo	
U+5D4B	嵋	méi	méi	
U+5E3D	帽	mào	mào	mào(188)
U+5E42	幂	mì	mì	
U+5E54	幔	màn	màn	
U+5E55	幕	mù	mù	mù(137)
U+5E6A	幪	méng	méng	
U+5E99	庙	miào	miào	miào(55)
U+5F25	弥	mí	mí	mí(25)
U+5F2D	弭	mǐ	mǐ	
U+5FD9	忙	máng	máng	máng(686)
U+5FDE	忞	mín	mín	
U+60AF	悯	mǐn	mǐn	
U+610D	愍	mǐn	mǐn	
U+6110	愐	miǎn	miǎn	
U+6155	慕	mù	mù	mù(24)
U+6162	慢	màn	màn	màn(417)
U+61CB	懋	mào	mào	
U+61D1	懑	mèn	mèn	
U+61F5	懵	měng	měng	
U+626A	扪	mén	mén	
U+62B9	抹	mā,mǒ,mò	mǒ	mǒ(50) mā(10)
U+62BF	抿	mǐn	mǐn	mǐn(14)
U+62C7	拇	mǔ	mǔ	mu(11)
U+63CF	描	miáo	miáo	miáo(56)
U+6469	摩	mā,mó	mó	mó(18)
U+6478	摸	mō	mō	mō(263) mo(21)
U+6479	摹	mó	mó	
U+6549	敉	mǐ	mǐ	
U+654F	敏	mǐn	mǐn	mǐn(60)
U+65C4	旄	máo	máo	
U+65FB	旻	mín	mín	
U+660E	明	míng	míng	míng(1887) ming(96)
U+6627	昧	mèi	mèi	mèi(27)
U+6634	昴	mǎo	mǎo	
U+669D	暝	míng	míng	
U+66AE	暮	mù	mù	
U+66FC	曼	màn	màn	
U+6726	朦	méng	méng	méng(32)
