# Kranji phonic partition - initial: n
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 178
U+4E43	乃	nǎi	nǎi	nǎi(27)
U+4E78	乸	nǎ	nǎ	
U+4F32	伲	ní	ní	
U+4F5E	佞	nìng	nìng	
U+4F60	你	nǐ	nǐ	nǐ(10944)
U+4F74	佴	nài	nài	
U+4FAC	侬	nóng	nóng	
U+502A	倪	ní	ní	
U+5089	傉	nù	nù	
U+50A9	傩	nuó	nuó	
U+5185	内	nèi	nèi	nèi(1434)
U+519C	农	nóng	nóng	nóng(1281)
U+51DD	凝	níng	níng	níng(138)
U+52AA	努	nǔ	nǔ	nǔ(251)
U+533F	匿	nì	nì	
U+5357	南	nā,nán	nán	nán(749)
U+5450	呐	nà	nà	ne(2307) nà(13)
U+5462	呢	ne,ní	ne	ne(2307) ní(21)
U+5476	呶	náo	náo	
U+549B	咛	níng	níng	níng(11)
U+54DD	哝	nóng	nóng	
U+54EA	哪	nǎ,na,né	nǎ	nǎ(1138) na(266)
U+556E	啮	niè	niè	
U+5583	喃	nán	nán	nán(26)
U+558F	喏	nuò	nuò	
U+55EB	嗫	niè	niè	
U+56CA	囊	nāng,náng	náng	
U+56D4	囔	nāng	nāng	
U+56E1	囡	nān	nān	
U+576D	坭	ní	ní	
U+57B4	垴	nǎo	nǎo	
U+57DD	埝	niàn	niàn	
U+5948	奈	nài	nài	nài(22)
U+5973	女	nǚ	nǚ	nǚ(1129) nü(37)
U+5974	奴	nú	nú	nú(73)
U+5976	奶	nǎi	nǎi	nǎi(234) nai(167)
U+599E	妞	niū	niū	
U+59AE	妮	nī	nī	
U+5A18	娘	niáng	niáng	niang(362) niáng(279)
U+5A1C	娜	nà,nuó	nà	
U+5A7B	婻	nàn	nàn	
U+5AE9	嫩	nèn	nèn	nèn(26)
U+5B65	孥	nú	nú	
U+5B6C	孬	nāo	nāo	
U+5B7D	孽	niè	niè	
U+5B81	宁	níng,nìng	níng	níng(13) nìng(9)
U+5C3C	尼	ní	ní	
U+5C3F	尿	niào,suī	niào	niào(16)
U+5CF1	峱	náo	náo	
U+5D72	嵲	niè	niè	
U+5E74	年	nián	nián	nián(5553)
