# Kranji phonic partition - initial: p
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 263
U+36F9	㛹	pián	pián	
U+497D	䥽	pō	pō	
U+4D19	䴙	pì	pì	
U+4E15	丕	pī	pī	
U+4E52	乒	pīng	pīng	pīng(29)
U+4E53	乓	pāng	pāng	pāng(29)
U+4EC6	仆	pū,pú	pū	
U+4EF3	仳	pǐ	pǐ	
U+4F3E	伾	pī	pī	
U+4F69	佩	pèi	pèi	pèi(29)
U+4FDC	俜	pīng	pīng	
U+4FF3	俳	pái	pái	
U+504F	偏	piān	piān	piān(153)
U+50FB	僻	pì	pì	
U+51ED	凭	píng	píng	píng(134)
U+5224	判	pàn	pàn	pàn(252)
U+5228	刨	bào,páo	páo	páo(12)
U+5256	剖	pōu	pōu	pōu(24)
U+527D	剽	piāo	piāo	
U+5288	劈	pī,pǐ	pī	pī(17)
U+530D	匍	pú	pú	
U+530F	匏	páo	páo	
U+5339	匹	pǐ	pǐ	pǐ(79)
U+53DB	叛	pàn	pàn	pàn(68)
U+53F5	叵	pǒ	pǒ	
U+5478	呸	pēi	pēi	pēi(32)
U+5486	咆	páo	páo	páo(19)
U+54C1	品	pǐn	pǐn	pǐn(876)
U+54CC	哌	pài	pài	
U+5564	啤	pí	pí	pí(12)
U+556A	啪	pā	pā	pā(49)
U+55B7	喷	pēn,pèn	pēn	pēn(111)
U+560C	嘌	piào	piào	
U+562D	嘭	pēng	pēng	
U+5657	噗	pū	pū	
U+567C	噼	pī	pī	
U+56AD	嚭	pǐ	pǐ	
U+5703	圃	pǔ	pǔ	
U+572E	圮	pǐ	pǐ	
U+5761	坡	pō	pō	pō(103)
U+576A	坪	píng	píng	
U+576F	坯	pī	pī	pī(24)
U+57E4	埤	pì	pí	
U+57F9	培	péi	péi	péi(144)
U+580B	堋	péng	péng	
U+58A3	墣	pú	pú	
U+59D8	姘	pīn	pīn	
U+5A09	娉	pīng	pīng	
U+5A46	婆	pó	pó	pó(76) po(66)
U+5AB2	媲	pì	pì	
U+5AD4	嫔	pín	pín	
U+5AD6	嫖	piáo	piáo	
U+5C41	屁	pì	pì	pì(48)
U+5C4F	屏	bǐng,píng	píng	píng(10)
U+5E14	帔	pèi	pèi	
U+5E15	帕	pà	pà	pà(13)
U+5E21	帡	píng	píng	
U+5E73	平	píng	píng	píng(1484)
U+5E96	庖	páo	páo	
U+5E9E	庞	páng	páng	páng(19)
U+5F38	弸	péng	péng	
U+5F6D	彭	péng	péng	
U+5F77	彷	páng	páng	
U+5F98	徘	pái	pái	pái(17)
U+6015	怕	pà	pà	pà(866)
U+6026	怦	pēng	pēng	pēng(24)
U+6251	扑	pū	pū	pū(140)
U+6279	批	pī	pī	pī(694)
U+6294	抔	póu	póu	
U+629B	抛	pāo	pāo	pāo(51)
U+62A8	抨	pēng	pēng	
U+62AB	披	pī	pī	pī(89)
U+62CD	拍	pāi	pāi	pāi(222)
U+62FC	拼	pīn	pīn	pīn(147)
U+6367	捧	pěng	pěng	pěng(120)
U+638A	掊	póu,pǒu	póu	
U+6392	排	pái,pǎi	pái	pái(402)
U+6487	撇	piē,piě	piē	
U+6500	攀	pān	pān	pān(53)
U+65C1	旁	páng	páng	páng(471)
U+65C6	旆	pèi	pèi	
U+666E	普	pǔ	pǔ	pǔ(322)
U+66DD	曝	bào,pù	pù	
U+670B	朋	péng	péng	péng(514)
U+6734	朴	piáo,pò,pǔ	pǔ	pǔ(63)
U+6777	杷	pá	pá	
U+6787	枇	pí	pí	
U+67B0	枰	píng	píng	
U+6872	桲	bó,po	po	
U+68DA	棚	péng	péng	péng(62) peng(14)
U+692A	椪	pèng	pèng	
U+6969	楩	pián	pián	
U+69C3	槃	pán	pán	
U+6B8D	殍	piǎo	piǎo	
U+6BD7	毗	pí	pí	
U+6C06	氆	pǔ	pǔ	
U+6C15	氕	piē	piē	
U+6C9B	沛	pèi	pèi	pèi(8)
U+6CCA	泊	bó,pō	pō	pō(26) bó(11)
U+6CD9	泙	píng	píng	
U+6CE1	泡	pāo,pào	pào	pào(77)
U+6CEE	泮	pàn	pàn	
U+6CFC	泼	pō	pō	po(50) pō(25)
U+6D34	洴	píng	píng	
U+6D3E	派	pài	pài	pài(650)
U+6D66	浦	pǔ	pǔ	
U+6D84	涄	pīng	pīng	
U+6DDC	淜	péng	péng	
U+6DE0	淠	pì	pì	
U+6E43	湃	pài	pài	pài(11)
U+6E53	湓	pén	pén	
U+6EA5	溥	pǔ	pǔ	
U+6EC2	滂	pāng	pāng	
U+6F02	漂	piāo,piǎo,piào	piào	piào(68) piāo(17)
U+6F56	潖	pá	pá	
U+6F58	潘	pān	pān	
U+6F7D	潽	pū	pū	
U+6F8E	澎	péng	péng	pēng(11)
U+6FBC	澼	pì	pì	
U+6FEE	濮	pú	pú	
U+7011	瀑	bào,pù	pù	pù(19)
U+70AE	炮	bāo,páo,pào	pào	pào(182)
U+70F9	烹	pēng	pēng	
U+722C	爬	pá	pá	pá(330)
U+723F	爿	pán	pán	
U+7247	片	piān,piàn	piàn	piàn(762) piān(42)
U+724C	牌	pái	pái	pái(73)
U+725D	牝	pìn	pìn	
U+728F	犏	piān	piān	
U+72C9	狉	pī	pī	
U+72CD	狍	páo	páo	
U+73AD	玭	pín	pín	
U+73B6	玶	píng	píng	
U+73C0	珀	pò	pò	
U+7435	琵	pí	pí	
U+7436	琶	pá	pá	
U+749E	璞	pú	pú	
U+74E2	瓢	piáo	piáo	piáo(11)
U+74F6	瓶	píng	píng	píng(128)
U+7513	甓	pì	pì	
U+7554	畔	pàn	pàn	pàn(21)
U+75B1	疱	pào	pào	
U+75B2	疲	pí	pí	pí(78)
U+75DE	痞	pǐ	pǐ	
U+7656	癖	pǐ	pǐ	
U+76A4	皤	pó	pó	
U+76AE	皮	pí	pí	pí(519)
U+76C6	盆	pén	pén	pén(168)
U+76D8	盘	pán	pán	pán(169) pan(25)
U+76FC	盼	pàn	pàn	pàn(74)
U+7765	睥	pì	pì	
U+779F	瞟	piǎo	piǎo	
U+77A5	瞥	piē	piē	piē(16)
