# Kranji phonic partition - initial: q
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 376
U+3B55	㭕	qū	qū	
U+44D6	䓖	qióng	qióng	
U+44DB	䓛	qū	qū	
U+44EB	䓫	qí	qí	
U+4E03	七	qī	qī	qī(950)
U+4E14	且	qiě	qiě	qiě(1051)
U+4E18	丘	qiū	qiū	qiū(58)
U+4E54	乔	qiáo	qiáo	
U+4E5E	乞	qǐ	qǐ	
U+4E7E	乾	qián	qián	
U+4E93	亓	qí	qí	
U+4EB2	亲	qīn,qìng	qīn	qīn(1029) qin(428)
U+4EDF	仟	qiān	qiān	
U+4F01	企	qǐ	qǐ	qǐ(244)
U+4F23	伣	qiàn	qiàn	
U+4F65	佥	qiān	qiān	
U+4F7A	佺	quán	quán	
U+4FA8	侨	qiáo	qiáo	
U+4FB5	侵	qīn	qīn	qīn(341)
U+4FC5	俅	qiú	qiú	
U+4FCF	俏	qiào	qiào	
U+4FDF	俟	qí,sì	qí	
U+5029	倩	qiàn	qiàn	
U+503E	倾	qīng	qīng	qīng(175)
U+5168	全	quán	quán	quán(2824)
U+5176	其	qí	qí	qí(1458)
U+51C4	凄	qī	qī	qī(16)
U+5207	切	qiē,qiè	qiè	qiè(998) qiē(70)
U+5238	券	quàn,xuàn	quàn	
U+524D	前	qián	qián	qián(3617)
U+5281	劁	qiāo	qiāo	
U+529D	劝	quàn	quàn	quàn(121)
U+52AC	劬	qú	qú	
U+52CD	勍	qíng	qíng	
U+52E4	勤	qín	qín	qín(100)
U+533A	区	ōu,qū	qū	qū(1211)
U+5343	千	qiān	qiān	qiān(881)
U+5374	却	què	què	què(1157)
U+537F	卿	qīng	qīng	
U+53BB	去	qù	qù	qù(7347)
U+53D6	取	qǔ	qǔ	qǔ(916)
U+5423	吣	qìn	qìn	
U+542F	启	qǐ	qǐ	qǐ(60)
U+545B	呛	qiāng,qiàng	qiāng	
U+55EA	嗪	qín	qín	
U+5601	嘁	qī	qī	
U+5659	噙	qín	qín	
U+5668	器	qì	qì	qì(771)
U+56DA	囚	qiú	qiú	
U+56F7	囷	qūn	qūn	
U+5708	圈	juān,juàn,quān	quān	quān(169) juàn(12)
U+570A	圊	qīng	qīng	
U+5732	圲	qiān	qiān	
U+573B	圻	qí	qí	
U+5765	坥	qū	qū	
U+57C6	埆	què	què	
U+57FC	埼	qí	qí	
U+5811	堑	qiàn	qiàn	
U+5898	墘	qián	qián	
U+5899	墙	qiáng	qiáng	qiáng(264)
U+5947	奇	jī,qí	qí	qí(345)
U+5951	契	qì	qì	
U+59BB	妻	qī	qī	qī(69)
U+59BE	妾	qiè	qiè	
U+5A36	娶	qǔ	qǔ	qǔ(40)
U+5A4D	婍	qǐ	qǐ	
U+5A58	婘	quán	quán	
U+5AF1	嫱	qiáng	qiáng	
U+5BDD	寝	qǐn	qǐn	
U+5C48	屈	qū	qū	qū(37) qu(27)
U+5C7A	屺	qǐ	qǐ	
U+5C82	岂	qǐ	qǐ	qǐ(51)
U+5C8D	岍	qiān	qiān	
U+5C90	岐	qí	qí	
