# Kranji phonic partition - initial: r
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 117
U+4383	䎃	rǎn	rǎn	
U+4E73	乳	rǔ	rǔ	rǔ(24)
U+4EBA	人	rén	rén	rén(16866) ren(280)
U+4EC1	仁	rén	rén	
U+4ECD	仍	réng	réng	réng(378)
U+4EDE	仞	rèn	rèn	
U+4EFB	任	rén,rèn	rèn	rèn(1235)
U+504C	偌	ruò	ruò	
U+5112	儒	rú	rú	
U+5134	儴	ráng	ráng	
U+5165	入	rù	rù	rù(784)
U+5189	冉	rǎn	rǎn	
U+5197	冗	rǒng	rǒng	
U+5203	刃	rèn	rèn	
U+5685	嚅	rú	rú	
U+56B7	嚷	rāng,rǎng	rǎng	rǎng(88)
U+5827	堧	ruán	ruán	
U+58E4	壤	rǎng	rǎng	rǎng(82)
U+58EC	壬	rén	rén	
U+5982	如	rú	rú	rú(2323)
U+598A	妊	rèn	rèn	
U+5A06	娆	ráo	ráo	
U+5A7C	婼	ruò	ruò	
U+5A86	媆	ruǎn	ruǎn	
U+5B2C	嬬	rú	rú	
U+5B7A	孺	rú	rú	
U+5BB9	容	róng	róng	róng(822)
U+5D58	嵘	róng	róng	
U+5F31	弱	ruò	ruò	ruò(193)
U+5FCD	忍	rěn	rěn	rěn(189)
U+60F9	惹	rě	rě	rě(49)
U+620E	戎	róng	róng	
U+6254	扔	rēng	rēng	rēng(101)
U+6270	扰	rǎo	rǎo	rǎo(32)
U+63C9	揉	róu	róu	róu(44)
U+6518	攘	rǎng	rǎng	
U+65E5	日	rì	rì	rì(1276)
U+6798	枘	ruì	ruì	
U+67D3	染	rǎn	rǎn	rǎn(218)
U+67D4	柔	róu	róu	róu(56)
U+6861	桡	ráo	ráo	
U+6995	榕	róng	róng	róng(14)
U+6C5D	汝	rǔ	rǔ	
U+6C6D	汭	ruì	ruì	
U+6D33	洳	rù	rù	
U+6DA6	润	rùn	rùn	rùn(68)
U+6EB6	溶	róng	róng	róng(62)
U+6EBD	溽	rù	rù	
U+6FE1	濡	rú	rú	
U+703C	瀼	ráng,ràng	ráng	
U+70ED	热	rè	rè	rè(1014)
U+7136	然	rán	rán	rán(3549) ran(84)
U+7194	熔	róng	róng	róng(21)
U+71C3	燃	rán	rán	rán(273)
U+7207	爇	ruò	ruò	
U+72E8	狨	róng	róng	
U+745E	瑞	ruì	ruì	
U+7462	瑢	róng	róng	
U+74C0	瓀	ruǎn	ruǎn	
U+74E4	瓤	ráng	ráng	
U+777F	睿	ruì	ruì	
U+79B3	禳	ráng	ráng	
U+7A14	稔	rěn	rěn	
U+7A70	穰	ráng	ráng	
U+7BAC	箬	ruò	ruò	
U+7CC5	糅	róu	róu	
U+7EAB	纫	rèn	rèn	
U+7EB4	纴	rèn	rèn	
U+7ED2	绒	róng	róng	róng(27)
U+7ED5	绕	rào	rào	rào(74) rǎo(40)
U+7F1B	缛	rù	rù	
U+8089	肉	ròu	ròu	ròu(278)
U+82AE	芮	ruì	ruì	
U+82D2	苒	rǎn	rǎn	
U+82E5	若	ruò	ruò	ruò(182)
U+8338	茸	róng	róng	rōng(20)
U+8339	茹	rú	rú	
U+834F	荏	rěn	rěn	
U+835B	荛	ráo	ráo	
U+8363	荣	róng	róng	róng(147)
U+845A	葚	rèn,shèn	rèn	
U+84BB	蒻	ruò	ruò	
U+84C9	蓉	róng	róng	
U+84D0	蓐	rù	rù	
U+854A	蕊	ruǐ	ruǐ	
U+8564	蕤	ruí	ruí	
U+85B7	薷	rú	rú	
U+8618	蘘	ráng	ráng	
U+868B	蚋	ruì	ruì	
U+86BA	蚺	rán	rán	
U+877E	蝾	róng	róng	
U+878D	融	róng	róng	róng(25)
U+8815	蠕	rú	rú	rú(20)
U+887D	衽	rèn	rèn	
U+8925	褥	rù	rù	
U+8966	襦	rú	rú	
U+8BA4	认	rèn	rèn	rèn(1247)
U+8BA9	让	ràng	ràng	ràng(974)
U+8BB1	讱	rèn	rèn	
U+8E42	蹂	róu	róu	
U+8F6B	轫	rèn	rèn	
U+8F6F	软	ruǎn	ruǎn	ruǎn(125)
U+8FB1	辱	rǔ	rǔ	rǔ(22)
U+9100	鄀	ruò	ruò	
U+94F7	铷	rú	rú	
U+9510	锐	ruì	ruì	ruì(66)
U+9555	镕	róng	róng	
U+95F0	闰	rùn	rùn	
U+962E	阮	ruǎn	ruǎn	
U+97A3	鞣	róu	róu	
U+97E7	韧	rèn	rèn	rèn(11)
U+98A5	颥	rú	rú	
U+996A	饪	rèn	rèn	
U+9976	饶	ráo	ráo	ráo(23)
U+9A72	驲	rì	rì	
U+9AEF	髯	rán	rán	
U+2B413	𫐓	róu	róu	
