# Kranji phonic partition - initial: s
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 196
U+37C3	㟃	sī	sī	
U+39D0	㧐	sǒng	sǒng	
U+4E09	三	sān	sān	sān(3030)
U+4E1D	丝	sī	sī	sī(186)
U+4E27	丧	sāng,sàng	sàng	sàng(22)
U+4EE8	仨	sā	sā	
U+4F1E	伞	sǎn	sǎn	sǎn(57)
U+4F3C	似	shì,sì	sì	shì(599) sì(401)
U+4FD7	俗	sú	sú	sú(51)
U+5083	傃	sù	sù	
U+50E7	僧	sēng	sēng	
U+50F3	僳	sù	sù	
U+5155	兕	sì	sì	
U+51C7	凇	sōng	sōng	
U+51D8	凘	sī	sī	
U+5345	卅	sà	sà	
U+53AE	厮	sī	sī	
U+53C1	叁	sān	sān	
U+53DF	叟	sǒu	sǒu	
U+53F8	司	sī	sī	sī(309)
U+549D	咝	sī	sī	
U+5506	唆	suō	suō	
U+5522	唢	suǒ	suǒ	
U+556C	啬	sè	sè	
U+55C9	嗉	sù	sù	
U+55CD	嗍	suō	suō	
U+55D3	嗓	sǎng	sǎng	sǎng(63)
U+55D6	嗖	sōu	sōu	
U+55E3	嗣	sì	sì	
U+55E6	嗦	suō	suō	suo(30)
U+55FD	嗽	sòu	sòu	sou(39)
U+55FE	嗾	sǒu	sǒu	
U+5636	嘶	sī	sī	sī(14)
U+567B	噻	sāi	sāi	
U+56DB	四	sì	sì	sì(2101)
U+57FD	埽	sào	sào	
U+5851	塑	sù	sù	sù(113)
U+585E	塞	sāi,sài,sè	sāi	sāi(75) sè(13)
U+5919	夙	sù	sù	
U+59D2	姒	sì	sì	
U+5A00	娀	sōng	sōng	
U+5A11	娑	suō	suō	
U+5AC2	嫂	sǎo	sǎo	sǎo(320) sao(14)
U+5B59	孙	sūn	sūn	sūn(19)
U+5B8B	宋	sòng	sòng	
U+5BBF	宿	sù,xiǔ,xiù	sù	sù(60) xiǔ(15)
U+5BFA	寺	sì	sì	
U+5C81	岁	suì	suì	suì(519)
U+5D27	崧	sōng	sōng	
U+5D69	嵩	sōng	sōng	
U+5DF3	巳	sì	sì	
U+5ECB	廋	sōu	sōu	
U+5FEA	忪	sōng	sōng	
U+6002	怂	sǒng	sǒng	
U+601D	思	sī	sī	sī(1305) si(331)
U+609A	悚	sǒng	sǒng	
U+612B	愫	sù	sù	
U+6240	所	suǒ	suǒ	suǒ(2517)
U+626B	扫	sǎo,sào	sǎo	sǎo(121) sào(13)
U+6332	挲	sā,suō	sā	
U+635F	损	sǔn	sǔn	sǔn(128)
U+6414	搔	sāo	sāo	sāo(14)
U+641C	搜	sōu	sōu	sōu(61)
U+6421	搡	sǎng	sǎng	
U+6492	撒	sā,sǎ	sā	sā(54) sǎ(14)
U+6495	撕	sī	sī	sī(58)
U+64DE	擞	sǒu,sòu	sǒu	
U+6563	散	sǎn,sàn	sàn	sàn(159) sǎn(90)
U+65AF	斯	sī	sī	sī(77)
U+65DE	旞	suì	suì	
U+677E	松	sōng	sōng	sōng(184)
U+6851	桑	sāng	sāng	sāng(13)
U+686B	桫	suō	suō	
U+68AD	梭	suō	suō	
U+68EE	森	sēn	sēn	sēn(85)
U+6952	楒	sī	sī	
U+69AB	榫	sǔn	sǔn	
U+6B7B	死	sǐ	sǐ	sǐ(931)
U+6BF5	毵	sān	sān	
U+6C5C	汜	sì	sì	
U+6CD7	泗	sì	sì	
U+6D12	洒	sǎ	sǎ	sǎ(54)
U+6D91	涑	sù	sù	
U+6D98	涘	sì	sì	
U+6DA9	涩	sè	sè	
