# Kranji phonic partition - initial: sh
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 341
U+43E1	䏡	shì	shì	
U+4D13	䴓	shī	shī	
U+4E0A	上	shǎng,shàng	shàng	shàng(12308) shang(392)
U+4E16	世	shì	shì	shì(1238)
U+4E66	书	shū	shū	shū(1446)
U+4E8B	事	shì	shì	shì(3356) shi(210)
U+4EC0	什	shén,shí	shén	shén(4045) shen(17)
U+4ED5	仕	shì	shì	
U+4F24	伤	shāng	shāng	shāng(393)
U+4F38	伸	shēn	shēn	shēn(307)
U+4F58	佘	shé	shé	
U+4F7F	使	shǐ	shǐ	shǐ(2283)
U+4F81	侁	shēn	shēn	
U+4F8D	侍	shì	shì	shì(20)
U+500F	倏	shū	shū	
U+50BB	傻	shǎ	shǎ	shǎ(62)
U+517D	兽	shòu	shòu	shòu(40)
U+5220	删	shān	shān	
U+5237	刷	shuā,shuà	shuā	shuā(140)
U+5239	刹	chà,shā	shā	shā(17) chà(14)
U+5261	剡	shàn	shàn	
U+5269	剩	shèng	shèng	shèng(199)
U+52AD	劭	shào	shào	
U+52BF	势	shì	shì	shì(442) shi(10)
U+52FA	勺	sháo	sháo	
U+5319	匙	chí,shi	shi	shi(13)
U+5341	十	shí	shí	shí(4082)
U+5347	升	shēng	shēng	shēng(197)
U+538D	厍	shè	shè	
U+53A6	厦	shà,xià	shà	shà(17)
U+53CC	双	shuāng	shuāng	shuāng(373)
U+53D4	叔	shū	shū	shū(215) shu(153)
U+53D7	受	shòu	shòu	shòu(1082)
U+53F2	史	shǐ	shǐ	shǐ(847)
U+542E	吮	shǔn	shǔn	
U+547B	呻	shēn	shēn	shēn(13)
U+54C2	哂	shěn	shěn	
U+54E8	哨	shào	shào	shào(51)
U+552E	售	shòu	shòu	shòu(78)
U+5530	唰	shuā	shuā	shuā(36)
U+553C	唼	shà	shà	
U+5546	商	shāng	shāng	shāng(561)
U+5565	啥	shá	shá	shà(109)
U+5584	善	shàn	shàn	shàn(206)
U+55C4	嗄	shà	shà	
U+55DC	嗜	shì	shì	
U+566C	噬	shì	shì	
U+5723	圣	shèng	shèng	shèng(28)
U+57A7	垧	shǎng	shǎng	
U+57CF	埏	shān	shān	
U+57D8	埘	shí	shí	
U+587E	塾	shú	shú	
U+5885	墅	shù	shù	
U+5892	墒	shāng	shāng	
U+58A1	墡	shàn	shàn	
U+58EB	士	shì	shì	shì(516) shi(69)
U+58F0	声	shēng	shēng	shēng(2269) sheng(57)
U+5931	失	shī	shī	shī(525)
U+5962	奢	shē	shē	
U+596D	奭	shì	shì	
U+5981	妁	shuò	shuò	
U+59CB	始	shǐ	shǐ	shǐ(606)
U+59D7	姗	shān	shān	
U+59DD	姝	shū	shū	
U+5A20	娠	shēn	shēn	
U+5A4C	婌	shú	shú	
U+5A76	婶	shěn	shěn	shěn(172) shen(66)
U+5A9E	媞	shì	shì	
U+5B17	嬗	shàn	shàn	
U+5B40	孀	shuāng	shuāng	
U+5B70	孰	shú	shú	
U+5B88	守	shǒu	shǒu	shǒu(218)
U+5B9E	实	shí	shí	shí(2729) shi(200)
U+5BA1	审	shěn	shěn	shěn(58)
U+5BA4	室	shì	shì	shì(434)
U+5BFF	寿	shòu	shòu	shòu(20)
U+5C04	射	shè	shè	shè(315)
U+5C11	少	shǎo,shào	shǎo	shǎo(1187) shao(362) shào(323)
U+5C1A	尚	shàng	shàng	shàng(64) shang(20)
U+5C38	尸	shī	shī	shī(14)
U+5C4E	屎	shǐ	shǐ	shǐ(14)
U+5C5E	属	shǔ	shǔ	shǔ(369)
U+5C71	山	shān	shān	shān(1704)
U+5C7E	屾	shēn	shēn	
U+5D4A	嵊	shèng	shèng	
U+5DA6	嶦	shàn	shàn	
U+5E02	市	shì	shì	shì(690)
U+5E05	帅	shuài	shuài	shuài(11)
U+5E08	师	shī	shī	shī(1142)
U+5E28	帨	shuì	shuì	
U+5EB6	庶	shù	shù	
U+5F0F	式	shì	shì	shì(567) shi(10)
U+5F11	弑	shì	shì	
U+6043	恃	shì	shì	
U+6055	恕	shù	shù	
U+614E	慎	shèn	shèn	shèn(38)
U+6151	慑	shè	shè	
U+620D	戍	shù	shù	
U+6247	扇	shān,shàn	shàn	shàn(19) shān(15)
U+624B	手	shǒu	shǒu	shǒu(2615) shou(12)
U+6292	抒	shū	shū	
U+62ED	拭	shì	shì	shì(13)
U+62F4	拴	shuān	shuān	shuān(42)
U+62FE	拾	shè,shí	shí	shi(60) shí(39)
U+634E	捎	shāo,shào	shāo	shāo(19)
U+6388	授	shòu	shòu	shòu(122)
U+6420	搠	shuò	shuò	
U+6444	摄	shè	shè	shè(128)
U+6445	摅	shū	shū	
U+6454	摔	shuāi	shuāi	shuāi(128)
U+64C5	擅	shàn	shàn	
U+6536	收	shōu	shōu	shōu(768)
U+6570	数	shǔ,shù,shuò	shù	shù(1079) shǔ(91) shu(14)
