# Kranji phonic partition - initial: t
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 342
U+36DA	㛚	tǒng	tǒng	
U+3EEC	㻬	tū	tū	
U+43F2	䏲	tī	tī	
U+45F4	䗴	tíng	tíng	
U+48D8	䣘	táng	táng	
U+4CA2	䲢	téng	téng	
U+4D18	䴘	tī	tī	
U+4EAD	亭	tíng	tíng	tíng(53)
U+4ED6	他	tā	tā	tā(16038)
U+4EDD	仝	tóng	tóng	
U+4F53	体	tī,tǐ	tǐ	tǐ(1746)
U+4F57	佗	tuó	tuó	
U+4F5F	佟	tóng	tóng	
U+4F7B	佻	tiāo	tiāo	
U+4F82	侂	tuō	tuō	
U+4FB9	侹	tǐng	tǐng	
U+5013	倓	tán	tán	
U+5018	倘	tǎng	tǎng	tǎng(45)
U+501C	倜	tì	tì	
U+505C	停	tíng	tíng	tíng(510)
U+5077	偷	tōu	tōu	tōu(204)
U+50A5	傥	tǎng	tǎng	
U+50EE	僮	tóng	tóng	
U+5154	兔	tù	tù	tù(100)
U+51F8	凸	tū	tū	tū(31)
U+5243	剃	tì	tì	
U+5254	剔	tī	tī	tī(12)
U+5385	厅	tīng	tīng	tīng(59)
U+53F0	台	tāi,tái	tái	tái(530)
U+53F9	叹	tàn	tàn	tàn(153)
U+540C	同	tóng,tòng	tóng	tóng(4634) tong(34) tòng(17)
U+5410	吐	tǔ,tù	tǔ	tǔ(73) tù(38)
U+541E	吞	tūn	tūn	tūn(30)
U+542C	听	tīng	tīng	tīng(2028) ting(48)
U+54C3	哃	tóng	tóng	
U+5510	唐	táng	táng	
U+553E	唾	tuò	tuò	tuò(14)
U+5555	啕	táo	táo	
U+557C	啼	tí	tí	tí(12)
U+55F5	嗵	tōng	tōng	
U+5621	嘡	tāng	tāng	
U+568F	嚏	tì	tì	
U+56E2	团	tuán	tuán	tuán(887)
U+56FE	图	tú	tú	tú(491)
U+571F	土	tǔ	tǔ	tǔ(858)
U+5722	圢	tǐng	tǐng	
U+572B	圫	tuō	tuō	
U+5749	坉	tún	tún	
U+574D	坍	tān	tān	
U+575B	坛	tán	tán	
U+5766	坦	tǎn	tǎn	tǎn(77)
U+5768	坨	tuó	tuó	
U+57EB	埫	tǎng	tǎng	
U+5802	堂	táng	táng	táng(180) tang(10)
U+580D	堍	tù	tù	
U+584C	塌	tā	tā	tā(32)
U+5854	塔	tǎ	tǎ	tǎ(49)
U+5858	塘	táng	táng	táng(81)
U+586B	填	tián	tián	tián(53)
U+5929	天	tiān	tiān	tiān(5162) tian(64)
U+592A	太	tài	tài	tài(1379) tai(337)
U+5934	头	tóu	tóu	tóu(3058) tou(715)
U+5957	套	tào	tào	tào(227)
U+5979	她	tā	tā	tā(4477)
U+59A5	妥	tuǒ	tuǒ	tuǒ(53)
U+5A77	婷	tíng	tíng	
U+5B25	嬥	tiǎo	tiǎo	
U+5B83	它	tā	tā	tā(2984)
U+5C49	屉	tì	tì	ti(17)
U+5C60	屠	tú	tú	tú(15)
U+5C6F	屯	tún	tún	
U+5CC2	峂	tóng	tóng	
U+5E11	帑	tǎng	tǎng	
U+5E16	帖	tiē,tiě,tiè	tiē	
U+5EAD	庭	tíng	tíng	tíng(137)
U+5EB9	庹	tuǒ	tuǒ	
U+5EF7	廷	tíng	tíng	
U+5F22	弢	tāo	tāo	
U+5F56	彖	tuàn	tuàn	
U+5F64	彤	tóng	tóng	
U+5F92	徒	tú	tú	tú(161)
U+5FD0	忐	tǎn	tǎn	
U+5FD1	忑	tè	tè	
U+5FD2	忒	tuī	tè	
U+5FDD	忝	tiǎn	tiǎn	
U+5FF3	忳	tún	tún	
U+6001	态	tài	tài	tài(381)
U+606C	恬	tián	tián	
U+6078	恸	tòng	tòng	
U+608C	悌	tì	tì	
U+60D4	惔	tán	tán	
U+60D5	惕	tì	tì	tì(16)
U+6146	慆	tāo	tāo	
U+615D	慝	tè	tè	
U+6258	托	tuō	tuō	tuō(101)
U+6295	投	tóu	tóu	tóu(264)
U+629F	抟	tuán	tuán	
U+62AC	抬	tái	tái	tái(305)
U+62D3	拓	tà,tuò	tà	
U+62D6	拖	tuō	tuō	tuō(173)
U+6311	挑	tiāo,tiǎo	tiāo	tiāo(155) tiǎo(52)
U+631E	挞	tà	tà	
U+633A	挺	tǐng	tǐng	tǐng(239)
U+6345	捅	tǒng	tǒng	
U+638F	掏	tāo	tāo	tāo(106)
U+63A2	探	tàn	tàn	tàn(152) tan(10)
U+63A8	推	tuī	tuī	tuī(531)
U+63AD	掭	tiàn	tiàn	
U+63D0	提	dī,tí	tí	tí(1557)
U+642A	搪	táng	táng	táng(14)
U+644A	摊	tān	tān	tān(72)
U+64FF	擿	tī	tī	
U+6619	昙	tán	tán	
U+666A	晪	tiǎn	tiǎn	
U+66BE	暾	tūn	tūn	
U+66C8	曈	tóng	tóng	
U+66FF	替	tì	tì	tì(352)
U+6713	朓	tiǎo	tiǎo	
U+6761	条	tiáo	tiáo	tiáo(1643)
U+67C1	柁	tuó	tuó	
U+67DD	柝	tuò	tuò	
U+6843	桃	táo	táo	táo(59)
U+6850	桐	tóng	tóng	
U+686F	桯	tīng	tīng	
U+6876	桶	tǒng	tǒng	tǒng(72)
U+6883	梃	tǐng,tìng	tǐng	
U+688C	梌	tú	tú	
U+68AF	梯	tī	tī	tī(40)
U+68BC	梼	táo	táo	
U+68E0	棠	táng	táng	
U+692D	椭	tuǒ	tuǒ	tuǒ(11)
U+6983	榃	tán	tán	
U+69BB	榻	tà	tà	
U+6A18	樘	táng	táng	
U+6A50	橐	tuó	tuó	
U+6A66	橦	tóng	tóng	
U+6A80	檀	tán	tán	
U+6B84	殄	tiǎn	tiǎn	
U+6BEF	毯	tǎn	tǎn	tǎn(29)
U+6C40	汀	tīng	tīng	
U+6C64	汤	tāng	tāng	tāng(40) tang(15)
U+6C70	汰	tài	tài	tài(9)
U+6CB1	沱	tuó	tuó	
U+6CBA	沺	tián	tián	
U+6CF0	泰	tài	tài	
U+6D2E	洮	táo	táo	
U+6D82	涂	tú	tú	tu(116) tú(59)
U+6D95	涕	tì	tì	tì(14)
U+6D9B	涛	tāo	tāo	tāo(21)
U+6DCC	淌	tǎng	tǎng	tǎng(22)
U+6DD8	淘	táo	táo	táo(33)
U+6DDF	淟	tiǎn	tiǎn	
U+6DFB	添	tiān	tiān	tiān(103)
U+6E1F	渟	tíng	tíng	
U+6E49	湉	tián	tián	
U+6E4D	湍	tuān	tuān	
U+6E8F	溏	táng	táng	
U+6EBB	溻	tā	tā	
U+6ED4	滔	tāo	tāo	tāo(20)
U+6ED5	滕	téng	téng	
U+6EE9	滩	tān	tān	tān(62)
U+6F6D	潭	tán	tán	tán(29)
U+6F7C	潼	tóng	tóng	
U+70AD	炭	tàn	tàn	tàn(73)
U+70B1	炱	tái	tái	
U+70C3	烃	tīng	tīng	
U+70D4	烔	tóng	tóng	
U+70EB	烫	tàng	tàng	tàng(30)
U+70F6	烶	tǐng	tǐng	
U+7118	焘	tāo	tāo	
U+711E	焞	tūn	tūn	
U+7153	煓	tuān	tuān	
U+717A	煺	tuì	tuì	
U+71A5	熥	tēng	tēng	
U+7279	特	tè	tè	tè(1099)
U+732F	猯	tuān	tuān	
U+736D	獭	tǎ	tǎ	
U+73FD	珽	tǐng	tǐng	
U+7445	瑅	tí	tí	
U+746D	瑭	táng	táng	
U+7471	瑱	tiàn	tiàn	
U+74AE	璮	tǎn	tǎn	
U+751C	甜	tián	tián	tián(75)
U+7530	田	tián	tián	tián(336)
U+754B	畋	tián	tián	
U+7583	疃	tuǎn	tuǎn	
U+75BC	疼	téng	téng	téng(127)
U+75DB	痛	tòng	tòng	tòng(356)
U+75F0	痰	tán	tán	tán(11)
U+762B	瘫	tān	tān	
U+76F7	盷	tián	tián	
U+773A	眺	tiào	tiào	tiào(11)
U+77B3	瞳	tóng	tóng	
U+7823	砣	tuó	tuó	
U+783C	砼	tóng	tóng	
U+78B3	碳	tàn	tàn	tàn(55)
U+78F9	磹	tán	tán	
U+7967	祧	tiāo	tiāo	
U+79C3	秃	tū	tū	tū(13)
U+7A0C	稌	tú	tú	
U+7A5C	穜	tóng	tóng	
U+7A81	突	tū	tū	tū(474)
U+7A95	窕	tiǎo	tiǎo	
U+7AE5	童	tóng	tóng	tóng(55)
U+7B24	笤	tiáo	tiáo	
U+7B52	筒	tǒng	tǒng	tǒng(45)
U+7BA8	箨	tuò	tuò	
U+7C9C	粜	tiào	tiào	tiào(18)
U+7CD6	糖	táng	táng	táng(97)
U+7E22	縢	téng	téng	
U+7EDF	统	tǒng	tǒng	tǒng(959)
U+7EE6	绦	tāo	tāo	
U+7EE8	绨	tì	tí	
U+7EF9	绹	táo	táo	
U+7F07	缇	tí	tí	
U+7FB0	羰	tāng	tāng	
U+8025	耥	tāng	tāng	
U+80BD	肽	tài	tài	
U+80CE	胎	tāi	tāi	tāi(38)
U+8131	脱	tuō	tuō	tuō(239)
U+8146	腆	tiǎn	tiǎn	
U+816F	腯	tú	tú	
U+817E	腾	téng	téng	téng(91) teng(28)
U+817F	腿	tuǐ	tuǐ	tuǐ(263)
U+819B	膛	táng	táng	táng(29)
U+81C0	臀	tún	tún	
