# Kranji phonic partition - initial: x
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 510
U+3666	㙦	xié	xié	
U+3B0E	㬎	xiǎn	xiǎn	
U+3CDA	㳚	xù	xù	
U+45DB	䗛	xiū	xiū	
U+4723	䜣	xīn	xīn	
U+4E0B	下	xià	xià	xià(6430) xia(249)
U+4E60	习	xí	xí	xí(836)
U+4E61	乡	xiāng	xiāng	xiāng(433)
U+4E9B	些	xiē	xiē	xiē(3689)
U+4EAB	享	xiǎng	xiǎng	xiǎng(76)
U+4EB5	亵	xiè	xiè	
U+4ED9	仙	xiān	xiān	xian(18) xiān(17)
U+4F08	伈	xǐn	xǐn	
U+4F11	休	xiū	xiū	xiū(197)
U+4F2D	伭	xián	xián	
U+4FA0	侠	xiá	xiá	
U+4FD9	俙	xī	xī	
U+4FE1	信	xìn	xìn	xìn(1068)
U+4FEE	修	xiū	xiū	xiū(464)
U+5055	偕	xié	xié	
U+5070	偰	xiè	xiè	
U+5092	傒	xī	xī	
U+50CF	像	xiàng	xiàng	xiàng(233)
U+50D6	僖	xī	xī	
U+5107	儇	xuān	xuān	
U+5144	兄	xiōng	xiōng	xiōng(97) xiong(25)
U+5148	先	xiān	xiān	xiān(1962)
U+516E	兮	xī	xī	
U+5174	兴	xīng,xìng	xìng	xìng(499) xīng(164)
U+5194	冔	xǔ	xǔ	
U+5199	写	xiě	xiě	xiě(1171)
U+51BC	冼	xiǎn	xiǎn	
U+51F6	凶	xiōng	xiōng	xiōng(78)
U+5211	刑	xíng	xíng	xíng(115)
U+524A	削	xiāo,xuē	xuē	xuē(194) xiāo(33)
U+52CB	勋	xūn	xūn	
U+52D6	勖	xù	xù	
U+52F0	勰	xié	xié	
U+5308	匈	xiōng	xiōng	
U+5323	匣	xiá	xiá	
U+534F	协	xié	xié	xié(150)
U+5378	卸	xiè	xiè	xiè(28)
U+53A2	厢	xiāng	xiāng	xiāng(18)
U+53BF	县	xiàn	xiàn	xiàn(429)
U+53D9	叙	xù	xù	xù(18)
U+53DA	叚	xiá	xiá	
U+5401	吁	xū,yū,yù	xū	xū(20) yù(12)
U+5411	向	xiàng	xiàng	xiàng(2542)
U+5413	吓	hè,xià	xià	xià(135)
U+5438	吸	xī	xī	xī(371)
U+5477	呷	xiā	xiā	
U+54A5	咥	xì	xì	
U+54B8	咸	xián	xián	xián(10)
U+54BA	咺	xuān	xuǎn	
U+54BB	咻	xiū	xiū	
U+54CD	响	xiǎng	xiǎng	xiǎng(798)
U+54D3	哓	xiāo	xiāo	
U+54EE	哮	xiào	xiào	xiāo(19)
U+550F	唏	xī	xī	
U+5578	啸	xiào	xiào	xiào(21)
U+559C	喜	xǐ	xǐ	xǐ(459)
U+55A7	喧	xuān	xuān	
U+55C5	嗅	xiù	xiù	xiù(14)
U+5618	嘘	shī,xū	xū	xū(10)
U+563B	嘻	xī	xī	xī(42)
U+5640	噀	xùn	xùn	
U+5671	噱	xué	xué	
