# Kranji phonic partition - initial: z
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 194
U+4396	䎖	zēng	zēng	
U+4EC4	仄	zè	zè	
U+4ED4	仔	zǎi,zǐ	zǐ	zǐ(132)
U+4F50	佐	zuǒ	zuǒ	
U+4F5C	作	zuō,zuò	zuò	zuò(4832)
U+4FCE	俎	zǔ	zǔ	
U+5027	倧	zōng	zōng	
U+505A	做	zuò	zuò	zuò(2166)
U+506C	偬	zǒng	zǒng	
U+50D4	僔	zǔn	zǔn	
U+5179	兹	cí,zī	zī	
U+518D	再	zài	zài	zài(1697)
U+51FF	凿	záo	záo	záo(34)
U+5219	则	zé	zé	zé(535)
U+531D	匝	zā	zā	
U+5352	卒	cù,zú	zú	
U+5482	咂	zā	zā	zā(18)
U+548B	咋	zǎ,zé,zhā	zǎ	zǎ(17)
U+54A8	咨	zī	zī	
U+54B1	咱	zán	zán	zán(741) zan(11)
U+54C9	哉	zāi	zāi	
U+5511	唑	zuò	zuò	
U+5523	唣	zào	zào	
U+5567	啧	zé	zé	
U+55DE	嗞	zī	zī	
U+562C	嘬	zuō	zuō	
U+5634	嘴	zuǐ	zuǐ	zuǐ(610)
U+5642	噂	zǔn	zǔn	
U+566A	噪	zào	zào	zào(15)
U+5728	在	zài	zài	zài(19364)
U+5750	坐	zuò	zuò	zuò(1018)
U+589E	增	zēng	zēng	zēng(601)
U+594F	奏	zòu	zòu	zòu(26)
U+5958	奘	zàng,zhuǎng	zàng	
U+59CA	姊	zǐ	zǐ	zǐ(10)
U+59FF	姿	zī	zī	zī(48)
U+5B50	子	zǐ	zǐ	zi(6853) zǐ(1114)
U+5B56	孖	zī	mā	
U+5B57	字	zì	zì	zì(676) zi(138)
U+5B5C	孜	zī	zī	
U+5B73	孳	zī	zī	
U+5B97	宗	zōng	zōng	zōng(49) zong(18)
U+5BB0	宰	zǎi	zǎi	zǎi(13)
U+5BC1	寁	zǎn	zǎn	
U+5C0A	尊	zūn	zūn	zūn(122)
U+5C9E	岞	zuò	zuò	
U+5D12	崒	zú	zú	
U+5D3D	崽	zǎi	zǎi	zǎi(10)
U+5D6B	嵫	zī	zī	
U+5D9F	嶟	zūn	zūn	
U+5DE6	左	zuǒ	zuǒ	zuǒ(546)
U+5E3B	帻	zé	zé	
U+5EA7	座	zuò	zuò	zuò(396)
U+600D	怍	zuò	zuò	
U+600E	怎	zěn	zěn	zěn(2090)
U+603B	总	zǒng	zǒng	zǒng(1599)
U+6063	恣	zì	zì	
U+6165	慥	zào	zào	
U+618E	憎	zēng	zēng	
U+62E9	择	zé,zhái	zé	zé(71)
U+62F6	拶	zā,zǎn	zā	
U+637D	捽	zuó	zuó	
