# Kranji phonic partition - initial: zero
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 1115
U+344A	㑊	yì	yì	
U+3658	㙘	yāo	yāo	
U+3DB2	㶲	yòng	yòng	
U+3E84	㺄	yǔ	yǔ	
U+44E8	䓨	yīng	yīng	
U+4C9F	䲟	yìn	yìn	
U+4DAE	䶮	yǎn	yǎn	
U+4E00	一	yī	yī	yī(32747)
U+4E07	万	mò,wàn	wàn	wàn(1335)
U+4E0E	与	yǔ,yù	yǔ	yǔ(962) yù(10)
U+4E1A	业	yè	yè	yè(2095)
U+4E25	严	yán	yán	yán(633)
U+4E2B	丫	yā	yā	yā(56)
U+4E38	丸	wán	wán	wán(13)
U+4E3A	为	wéi,wèi	wèi	wèi(3962) wéi(2433)
U+4E42	乂	yì	yì	
U+4E49	义	yì	yì	yì(4472)
U+4E4C	乌	wū	wū	wū(69)
U+4E59	乙	yǐ	yǐ	yǐ(45)
U+4E5F	也	yě	yě	yě(7359)
U+4E88	予	yú,yǔ	yǔ	yǔ(40)
U+4E8C	二	èr	èr	èr(2718)
U+4E8E	于	yú	yú	yú(3483)
U+4E91	云	yún	yún	yún(207)
U+4E94	五	wǔ	wǔ	wǔ(1864)
U+4E9A	亚	yà	yà	yà(26)
U+4EA1	亡	wáng	wáng	wáng(94)
U+4EA6	亦	yì	yì	yì(35)
U+4EB9	亹	wěi	wěi	
U+4EBF	亿	yì	yì	yì(195)
U+4EE5	以	yǐ	yǐ	yǐ(6111)
U+4EEA	仪	yí	yí	yí(120)
U+4EF0	仰	yǎng	yǎng	yǎng(70)
U+4EF5	仵	wǔ	wǔ	
U+4F0A	伊	yī	yī	yī(13)
U+4F0D	伍	wǔ	wǔ	wu(216)
U+4F18	优	yōu	yōu	yōu(287)
U+4F1B	伛	yǔ	yǔ	
U+4F1F	伟	wěi	wěi	wěi(575)
U+4F22	伢	yá	yá	
U+4F2A	伪	wěi	wěi	wěi(48)
U+4F41	佁	yǐ	yǐ	
U+4F4D	位	wèi	wèi	wèi(1252)
U+4F51	佑	yòu	yòu	yòu(11)
U+4F59	余	yú	yú	yú(287)
U+4F5A	佚	yì	yì	
U+4F63	佣	yōng,yòng	yōng	
U+4F64	佤	wǎ	wǎ	
U+4F6F	佯	yáng	yáng	
U+4F7E	佾	yì	yì	
U+4F91	侑	yòu	yòu	
U+4F9D	依	yī	yī	yī(341)
U+4FAE	侮	wǔ	wǔ	wǔ(32)
U+4FC4	俄	é	é	é(12)
U+4FD1	俑	yǒng	yǒng	
U+4FDE	俞	yú	yú	
U+4FE3	俣	yǔ	yǔ	
U+4FE8	俨	yǎn	yǎn	
U+4FFA	俺	ǎn	ǎn	ǎn(122)
U+501A	倚	yǐ	yǐ	yǐ(34)
U+502D	倭	wō	wō	
U+503B	倻	yē	yē	
U+5043	偃	yǎn	yǎn	
U+504E	偎	wēi	wēi	wēi(16)
U+5053	偓	wò	wò	
U+5076	偶	ǒu	ǒu	ǒu(64)
U+50B2	傲	ào	ào	ào(67)
U+513F	儿	ér	ér	r(3254) ér(581)
U+5140	兀	wù	wù	
U+5141	允	yǔn	yǔn	yǔn(102)
U+5143	元	yuán	yuán	yuán(325)
U+5156	兖	yǎn	yǎn	
U+517B	养	yǎng	yǎng	yǎng(430)
U+51A4	冤	yuān	yuān	yuān(48)
U+51B6	冶	yě	yě	yě(61)
U+51F9	凹	āo	āo	āo(31)
U+5208	刈	yì	yì	
U+520E	刎	wěn	wěn	
U+5216	刖	yuè	yuè	
U+525C	剜	wān	wān	
U+5293	劓	yì	yì	
