# Kranji phonic partition - initial: zh
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 449
U+3447	㑇	zhòu	zhòu	
U+3918	㤘	zhòu	zhòu	
U+40CE	䃎	zhà	zhà	
U+43DD	䏝	zhuān	zhuān	
U+44EC	䓬	zhuó	zhuó	
U+45EA	䗪	zhè	zhè	
U+4983	䦃	zhuō	zhuō	
U+4E08	丈	zhàng	zhàng	zhàng(112)
U+4E13	专	zhuān	zhuān	zhuān(602)
U+4E2D	中	zhōng,zhòng	zhōng	zhōng(4875) zhòng(66)
U+4E3B	主	zhǔ	zhǔ	zhǔ(6884)
U+4E4B	之	zhī	zhī	zhī(2282)
U+4E4D	乍	zhà	zhà	
U+4E89	争	zhēng	zhēng	zhēng(1708)
U+4EC9	仉	zhǎng	zhǎng	
U+4ED7	仗	zhàng	zhàng	zhàng(128)
U+4EF2	仲	zhòng	zhòng	
U+4F17	众	zhòng	zhòng	zhòng(1149)
U+4F2B	伫	zhù	zhù	
U+4F4F	住	zhù	zhù	zhù(1793)
U+4F84	侄	zhí	zhí	
U+4F8F	侏	zhū	zhū	
U+4FA6	侦	zhēn	zhēn	zhēn(51)
U+502C	倬	zhuō	zhuō	
U+503A	债	zhài	zhài	zhài(36)
U+503C	值	zhí	zhí	zhí(341)
U+5061	偡	zhàn	zhàn	
U+50CE	僎	zhuàn	zhuàn	
U+5146	兆	zhào	zhào	
U+51A2	冢	zhǒng	zhǒng	
U+51C6	准	zhǔn	zhǔn	zhǔn(897)
U+5236	制	zhì	zhì	zhì(1850)
U+5284	劄	zhá	zhá	
U+52A9	助	zhù	zhù	zhù(464)
U+5353	卓	zhuó	zhuó	
U+5360	占	zhān,zhàn	zhàn	zhàn(343)
U+536E	卮	zhī	zhī	
U+53D5	叕	zhuó	zhuó	
U+53EA	只	zhī,zhǐ	zhǐ	zhǐ(3118) zhī(749)
U+53EC	召	shào,zhào	zhào	zhào(235)
U+5412	吒	zhā	zhā	
U+5431	吱	zhī,zī	zhī	
U+5468	周	zhōu	zhōu	zhōu(396)
U+5492	咒	zhòu	zhòu	zhòu(11)
U+54A4	咤	zhà	zhà	
U+54AB	咫	zhǐ	zhǐ	
U+54F2	哲	zhé	zhé	zhé(217)
U+54F3	哳	zhā	zhā	
U+5541	啁	zhāo,zhōu	zhāo	
U+5544	啄	zhuó	zhuó	zhuó(12)
U+556B	啫	zhě	zhě	
U+556D	啭	zhuàn	zhuàn	
U+5586	喆	zhé	zhé	
U+55B3	喳	chā,zhā	zhā	
U+5631	嘱	zhǔ	zhǔ	zhǔ(35)
U+5733	圳	zhèn	zhèn	
U+5740	址	zhǐ	zhǐ	zhǐ(24)
U+5760	坠	zhuì	zhuì	zhuì(13)
U+57F4	埴	zhí	zhí	
U+58EE	壮	zhuàng	zhuàng	zhuàng(174)
U+5953	奓	zhā	zhā	
U+5986	妆	zhuāng	zhuāng	
U+59AF	妯	zhóu	zhóu	
U+5A64	婤	zhōu	zhōu	
U+5ADC	嫜	zhāng	zhāng	
U+5B85	宅	zhái	zhái	zhái(61)
U+5B99	宙	zhòu	zhòu	zhòu(130)
U+5BE8	寨	zhài	zhài	
U+5C55	展	zhǎn	zhǎn	zhǎn(1433) zhan(16)
U+5CD9	峙	shì,zhì	zhì	
U+5CE5	峥	zhēng	zhēng	
U+5D2D	崭	zhǎn	zhǎn	zhǎn(34)
U+5D82	嶂	zhàng	zhàng	
U+5DDE	州	zhōu	zhōu	zhōu(30)
U+5E10	帐	zhàng	zhàng	zhàng(172)
U+5E19	帙	zhì	zhì	
U+5E1A	帚	zhǒu	zhǒu	zhou(13)
U+5E1C	帜	zhì	zhì	zhì(51)
U+5E27	帧	zhēn	zhēn	
U+5E5B	幛	zhàng	zhàng	
U+5E84	庄	zhuāng	zhuāng	zhuāng(337)
U+5EA4	庤	zhì	zhì	
U+5F20	张	zhāng	zhāng	zhāng(785)
U+5F58	彘	zhì	zhì	
U+5F70	彰	zhāng	zhāng	
U+5F81	征	zhēng	zhēng	zhēng(192)
U+5FB5	徵	zhǐ	zhǐ	
U+5FD7	志	zhì	zhì	zhì(2082)
U+5FE0	忠	zhōng	zhōng	zhōng(27)
U+5FEE	忮	zhì	zhì	
U+6014	怔	zhèng	zhēng	zhēng(15)
U+60F4	惴	zhuì	zhuì	
U+6218	战	zhàn	zhàn	zhàn(2420)
U+624E	扎	zā,zhā,zhá	zhā	zhā(90) zhá(43)
U+6267	执	zhí	zhí	zhí(218)
U+627A	扺	zhǐ	zhǐ	
U+627E	找	zhǎo	zhǎo	zhǎo(1043)
U+6293	抓	zhuā	zhuā	zhuā(403)
U+6298	折	shé,zhē,zhé	zhé	zhé(196) zhē(24) shé(11)
U+62C3	拃	zhǎ	zhǎ	
U+62C4	拄	zhǔ	zhǔ	zhǔ(13)
U+62D9	拙	zhuō	zhuō	
U+62DB	招	zhāo	zhāo	zhāo(201)
U+62EF	拯	zhěng	zhěng	
U+62FD	拽	zhuài	zhuài	
U+6307	指	zhǐ	zhǐ	zhǐ(1269) zhí(33) zhī(15)
U+6313	挓	zhā	zhā	
U+631A	挚	zhì	zhì	
U+6323	挣	zhēng,zhèng	zhēng	zhēng(43) zhèng(33)
U+632F	振	zhèn	zhèn	zhèn(84)
U+6349	捉	zhuō	zhuō	zhuō(104)
U+638C	掌	zhǎng	zhǎng	zhǎng(279) zhang(14)
U+63B7	掷	zhì	zhì	zhì(14)
U+63D5	揕	zhèn	zhèn	
U+63F8	揸	zhā	zhā	
U+640C	搌	zhǎn	zhǎn	
U+6458	摘	zhāi	zhāi	zhāi(79)
U+646D	摭	zhí	zhí	
U+649E	撞	zhuàng	zhuàng	zhuàng(97)
U+64B0	撰	zhuàn	zhuàn	
U+64E2	擢	zhuó	zhuó	
U+652F	支	zhī	zhī	zhī(641)
U+653F	政	zhèng	zhèng	zhèng(1844)
U+6574	整	zhěng	zhěng	zhěng(896)
U+658B	斋	zhāi	zhāi	
U+659F	斟	zhēn	zhēn	
U+65A9	斩	zhǎn	zhǎn	
U+65AB	斫	zhuó	zhuó	
U+65C3	旃	zhān	zhān	
U+65D0	旐	zhào	zhào	
U+65E8	旨	zhǐ	zhǐ	
U+6623	昣	zhěn	zhěn	
U+662D	昭	zhāo	zhāo	
U+663C	昼	zhòu	zhòu	zhòu(29)
U+664A	晊	zhì	zhì	
U+6662	晢	zhé	zhé	
U+666B	晫	zhuó	zhuó	
U+667A	智	zhì	zhì	zhì(71)
U+66B2	暲	zhāng	zhāng	
U+66CC	曌	zhào	zhào	
U+6715	朕	zhèn	zhèn	
U+672D	札	zhá	zhá	
U+6731	朱	zhū	zhū	
U+6756	杖	zhàng	zhàng	
U+677C	杼	zhù	zhù	
U+6795	枕	zhěn	zhěn	zhěn(34)
U+679D	枝	zhī	zhī	zhī(246)
U+67B3	枳	zhǐ	zhǐ	
U+67CA	柊	zhōng	zhōng	
U+67D8	柘	zhè	zhè	
U+67DE	柞	zhà,zuò	zhà	
U+67F1	柱	zhù	zhù	zhù(68)
U+67F7	柷	zhù	zhù	
U+6800	栀	zhī	zhī	
U+6805	栅	shān,zhà	zhà	
U+6808	栈	zhàn	zhàn	
U+6809	栉	zhì	zhì	
U+682A	株	zhū	zhū	zhū(68)
U+6834	栴	zhān	zhān	
U+684C	桌	zhuō	zhuō	zhuō(286)
U+684E	桎	zhì	zhì	
U+6862	桢	zhēn	zhēn	
U+6869	桩	zhuāng	zhuāng	zhuāng(50)
U+68BD	梽	zhì	zhì	
U+68C1	棁	zhuō	zhuō	
U+68F9	棹	zhào	zhào	
U+690D	植	zhí	zhí	zhí(218)
U+690E	椎	zhuī	zhuī	
U+6913	椓	zhuó	zhuó	
U+6942	楂	zhā	zhā	
U+699B	榛	zhēn	zhēn	
U+69A8	榨	zhà	zhà	
U+69B0	榰	zhī	zhī	
U+69E0	槠	zhū	zhū	
U+6A1F	樟	zhāng	zhāng	zhāng(16)
U+6A65	橥	zhū	zhū	
U+6B62	止	zhǐ	zhǐ	zhǐ(380)
U+6B63	正	zhēng,zhèng	zhèng	zhèng(2578) zheng(76) zhēng(24)
U+6B96	殖	shi,zhí	zhí	zhí(151)
U+6BE1	毡	zhān	zhān	zhān(20)
U+6C41	汁	zhī	zhī	zhī(9)
U+6C4B	汋	zhuó	zhuó	
U+6C9A	沚	zhǐ	zhǐ	
U+6CBB	治	zhì	zhì	zhì(1165)
U+6CBC	沼	zhǎo	zhǎo	
U+6CBE	沾	zhān	zhān	zhān(38)
U+6CDC	泜	zhī	zhī	
U+6CE8	注	zhù	zhù	zhù(446)
U+6D19	洙	zhū	zhū	
U+6D32	洲	zhōu	zhōu	zhōu(203)
U+6D48	浈	zhēn	zhēn	
U+6D4A	浊	zhuó	zhuó	zhuó(30)
U+6D59	浙	zhè	zhè	
U+6D5E	浞	zhuó	zhuó	
U+6DA8	涨	zhǎng,zhàng	zhǎng	zhǎng(75) zhàng(11)
U+6DBF	涿	zhuō	zhuō	
U+6E1A	渚	zhǔ	zhǔ	
U+6E23	渣	zhā	zhā	zhā(33)
U+6E5B	湛	zhàn	zhàn	
U+6EA0	溠	zhà	zhà	
U+6ECD	滍	zhì	zhì	
U+6EDE	滞	zhì	zhì	
U+6F33	漳	zhāng	zhāng	
U+6F74	潴	zhū	zhū	
U+6FEF	濯	zhuó	zhuó	
U+707C	灼	zhuó	zhuó	
U+7099	炙	zhì	zhì	
U+70B7	炷	zhù	zhù	
U+70B8	炸	zhá,zhà	zhà	zhà(114)
U+70DB	烛	zhú	zhú	zhú(53)
U+70DD	烝	zhēng	zhēng	
U+7167	照	zhào	zhào	zhào(884)
U+716E	煮	zhǔ	zhǔ	zhǔ(52)
U+722A	爪	zhǎo,zhuǎ	zhǎo	zhǎo(18) zhuǎ(12)
U+72B6	状	zhuàng	zhuàng	zhuàng(268)
U+72F0	狰	zhēng	zhēng	
U+732A	猪	zhū	zhū	zhū(83)
U+7350	獐	zhāng	zhāng	
U+73CD	珍	zhēn	zhēn	zhēn(100)
U+73E0	珠	zhū	zhū	zhū(140)
U+7451	瑑	zhuàn	zhuàn	
U+7467	瑧	zhēn	zhēn	
U+748B	璋	zhāng	zhāng	
U+7504	甄	zhēn	zhēn	
U+755B	畛	zhěn	zhěn	
U+7564	畤	zhì	zhì	
U+7590	疐	zhì	zhì	
U+75B0	疰	zhù	zhù	
U+75B9	疹	zhěn	zhěn	
U+75C4	痄	zhà	zhà	
U+75C7	症	zhēng,zhèng	zhèng	zhèng(37)
U+75D4	痔	zhì	zhì	
U+75E3	痣	zhì	zhì	
U+7603	瘃	zhú	zhú	
U+7634	瘴	zhàng	zhàng	
U+7635	瘵	zhài	zhài	
U+76B1	皱	zhòu	zhòu	zhòu(115)
U+76C5	盅	zhōng	zhōng	
U+76CF	盏	zhǎn	zhǎn	zhǎn(50)
U+76F4	直	zhí	zhí	zhí(1294)
U+771F	真	zhēn	zhēn	zhēn(2099)
U+7728	眨	zhǎ	zhǎ	zhǎ(51)
U+7740	着	zhāo,zháo,zhe,zhuó	zhe	zhe(10643) zháo(545) zhuó(125) zhāo(15)
U+7741	睁	zhēng	zhēng	zhēng(120)
U+77A9	瞩	zhǔ	zhǔ	
U+77BB	瞻	zhān	zhān	zhān(12)
U+77E5	知	zhī	zhī	zhī(2483)
U+7816	砖	zhuān	zhuān	zhuān(44)
U+781F	砟	zhǎ	zhǎ	
U+7827	砧	zhēn	zhēn	
U+782B	砫	zhù	zhù	
U+78A1	碡	zhóu	zhóu	
U+78D4	磔	zhé	zhé	
U+7949	祉	zhǐ	zhǐ	
U+7957	祗	zhī	zhī	
U+795D	祝	zhù	zhù	zhù(91)
U+796F	祯	zhēn	zhēn	
U+7994	禔	zhī	zhī	
U+799A	禚	zhuó	zhuó	
U+799B	禛	zhēn	zhēn	
U+79CD	种	chóng,zhǒng,zhòng	zhǒng	zhǒng(3481) zhòng(285)
U+79E9	秩	zhì	zhì	zhì(46)
U+7A19	稙	zhī	zhī	
U+7A1A	稚	zhì	zhì	zhì(16)
U+7A39	稹	zhěn	zhěn	
U+7A80	窀	zhūn	zhūn	
