# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# Seeded partition 37 - what the seeder could not do cleanly.
# Generated by GlossSeedMain; regenerate rather than edit.
# FLAGGED  seeded, check before trusting
# QUEUED   a polyphone; split its senses across its readings
# UNSEEDED nothing usable to seed from; write one
# codepoint	glyph	reading	kind	doubts	detail
31650	箢	yuan1	UNSEEDED	EMPTY	<no kDefinition>
34074	蔚	wei4	QUEUED		wèi yù
39326	馞	bo2	UNSEEDED	EMPTY	<no kDefinition>
28418	漂	piao4	QUEUED		piào piāo piǎo
39730	鬲	ge2	QUEUED		gé lì
28721	瀱	ji4	UNSEEDED	EMPTY	<no kDefinition>
24378	强	qiang2	QUEUED		qiáng jiàng qiǎng
31448	竘	qu3	UNSEEDED	EMPTY	<no kDefinition>
29226	爪	zhao3	QUEUED		zhǎo zhuǎ
21449	叉	cha1	QUEUED		chā chá chǎ chà
23974	嶦	shan4	UNSEEDED	EMPTY	<no kDefinition>
28923	烻	shan1	UNSEEDED	EMPTY	<no kDefinition>
