# Seeded from the Unicode Character Database (Unihan), field kDefinition.
# (c) 2025 Unicode, Inc. Unicode and the Unicode Logo are registered
# trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
# Generated by GlossSeedMain - regenerate rather than edit.
#
# NOT CHECKED BY ANYBODY. A machine's first reading of a dictionary
# field, kept apart from the hand-written set for that reason.
# codepoint	glyph	reading	priority	meaning	examples	because
14815	㧟	kuai3	P	to wipe		
14815	㧟	kuai3	S	to scrub		
14815	㧟	kuai3	A	to rub, to dust		
15118	㬎	xian3	P	motes in a sunbeam, bright, fibrous, to manifest		
15118	㬎	xian3	S	to display, to be illustrious, evident, to seem		
15118	㬎	xian3	A	to appear, cocoons		
15118	㬎	xian3	A	chrysalis, will not have a pleasant conversation		
17643	䓫	qi2	P	name of a mountain in Taiwan		
20269	伭	xian2	P	dark, somber		
20269	伭	xian2	S	deep, profound		
20572	停	ting2	P	stop, suspend, delay		
20572	停	ting2	S	suitable		
20774	儦	biao1	P	milling		
20976	凰	huang2	P	female phoenix		
21380	厄	e4	P	adversity, difficulty, distress		
21481	叩	kou4	P	knock, ask		
21481	叩	kou4	S	kowtow, bow		
22087	噇	chuang2	P	eating and drinking without restraint		
22996	委	wei3	P	appoint, send, commission		
23198	媞	shi4	P	at ease		
24208	庐	lu2	P	hut, cottage		
24713	悉	xi1	P	know, learn about, comprehend		
24814	惮	dan4	P	dread, shrink from, shirk, fear		
25420	捌	ba1	P	break open, split open		
25420	捌	ba1	S	an accounting version of the numeral eight		
25925	故	gu4	P	ancient, old		
25925	故	gu4	S	reason, because		
26127	昏	hun1	P	dusk, nightfall, twilight, dark		
26228	晴	qing2	P	clear weather, fine weather		
26329	曙	shu3	P	bright, light of rising sun		
26531	枣	zao3	P	date tree		
26531	枣	zao3	S	dates, jujubes		
26632	栈	zhan4	P	warehouse		
26632	栈	zhan4	S	tavern, inn		
26834	棒	bang4	P	stick, club, truncheon		
26834	棒	bang4	S	hit		
27036	榜	bang3	P	placard		
27036	榜	bang3	S	list of successful exam candidates		
27238	橦	tong2	P	tree		
27743	江	jiang1	P	large river		
27743	江	jiang1	S	the Yangzi		
27844	泄	xie4	P	leak		
27844	泄	xie4	S	vent		
27844	泄	xie4	A	flow		
27844	泄	xie4	A	reveal		
28046	涎	xian2	P	saliva		
28147	淳	chun2	P	honest, simple, unsophisticated		
28147	淳	chun2	S	cyanogen		
28147	淳	chun2	A	ethane dinitrile		
28248	湘	xiang1	P	alternate name for Hunan		
28349	溽	ru4	P	moist, humid, muggy		
29157	燥	zao4	P	dry, parched, arid		
29157	燥	zao4	S	quick-tempered		
29359	犯	fan4	P	commit crime, violate		
29359	犯	fan4	S	criminal		
29662	珞	luo4	P	kind of necklace		
29864	璨	can4	P	gems		
29864	璨	can4	S	luster of gems		
29864	璨	can4	A	lustrous		
29965	甍	meng2	P	rafters supporting roof tiles		
30066	畲	she1	P	to cultivate land by first setting fire to it		
30268	瘼	mo4	P	sickness		
30268	瘼	mo4	S	distress		
30571	睫	jie2	P	eyelashes		
30773	砵	bo1	P	port (Eng. loan-word), 西矺 a sideboard (Eng. loan-word)		
30874	碚	bei4	P	suburb		
31177	秉	bing3	P	grasp, hold		
31177	秉	bing3	S	bundle		
31177	秉	bing3	A	authority		
31581	筝	zheng1	P	stringed musical instrument		
31581	筝	zheng1	S	kite		
31783	簧	huang2	P	reed of woodwind instrument		
32288	縠	hu2	P	crepe		
32490	绪	xu4	P	end of thread		
32490	绪	xu4	S	thread, clue		
33096	腈	jing1	P	nitrile		
33298	舒	shu1	P	open up, unfold, stretch out		
33298	舒	shu1	S	comfortable, easy		
33500	苜	mu4	P	clover		
33601	荁	huan2	P	celery		
33803	萋	qi1	P	luxuriant foliage		
33803	萋	qi1	S	crowded		
34106	蔺	lin4	P	rush used for making mats		
34510	蛎	li4	P	oyster		
34914	衢	qu2	P	highway		
34914	衢	qu2	S	thoroughfare, intersection		
35823	误	wu4	P	err, make mistake		
35823	误	wu4	S	interfere		
36126	贞	zhen1	P	virtuous, chaste, pure		
36126	贞	zhen1	S	loyal		
36328	跨	kua4	P	straddle, bestride, ride		
36328	跨	kua4	S	carry		
36530	躲	duo3	P	hide, secrete		
36530	躲	duo3	S	avoid, escape		
36732	轼	shi4	P	horizontal wooden bar in front		
37237	酵	jiao4	P	yeast, leaven		
38045	钝	dun4	P	blunt, obtuse		
38045	钝	dun4	S	dull		
38045	钝	dun4	A	flat		
38045	钝	dun4	A	dull-witted		
38146	锂	li3	P	lithium (element 3, Li)		
38247	镧	lan2	P	lanthanum (element 57, La)		
38449	阱	jing3	P	pitfall, trap, snare		
38752	靠	kao4	P	lean on, trust, depend on		
38752	靠	kao4	S	near		
39560	骈	pian2	P	team of horses		
39560	骈	pian2	S	associate, join		
39661	髭	zi1	P	mustache		
40065	鲁	lu3	P	foolish, stupid, rash		
40065	鲁	lu3	S	vulgar		
40671	黟	yi1	P	black and shining		
40671	黟	yi1	S	ebony		
