# codepoint	glyph	reading	priority	meaning	examples	because
19998	丞	cheng2	P	assist, aid, rescue		
20200	仨	sa1	P	three (cannot be followed by a measure word)		
20301	位	wei4	P	throne		
20301	位	wei4	S	position, post		
20301	位	wei4	A	rank, status		
20806	兆	zhao4	P	omen		
20806	兆	zhao4	S	million		
20806	兆	zhao4	A	mega		
21210	勚	yi4	P	work hard		
21210	勚	yi4	S	belabored		
21210	勚	yi4	A	toil		
21311	匿	ni4	P	hide		
21311	匿	ni4	S	go into hiding		
21513	吉	ji2	P	lucky, propitious, good		
21715	哓	xiao1	P	garrulous		
21715	哓	xiao1	S	disturbed		
21715	哓	xiao1	A	restless		
22725	壅	yong1	P	to obstruct		
22826	太	tai4	P	very, too, much		
22826	太	tai4	S	big		
22826	太	tai4	A	extreme		
23230	媾	gou4	P	marry		
23230	媾	gou4	S	be on friendly terms with		
23432	守	shou3	P	defend, protect, guard, conserve		
24038	左	zuo3	P	left		
24038	左	zuo3	S	east		
24038	左	zuo3	A	unorthodox, improper		
24341	引	yin3	P	to pull, draw out, attract		
24341	引	yin3	S	to stretch		
24846	愎	bi4	P	obstinate, stubborn, headstrong		
25149	戽	hu4	P	to bale out water		
25351	指	zhi3	P	finger, toe		
25351	指	zhi3	S	point, indicate		
25856	攀	pan1	P	climb		
25856	攀	pan1	S	pull		
25856	攀	pan1	A	hang on to		
26159	是	shi4	P	indeed, yes, right		
26159	是	shi4	S	to be		
26159	是	shi4	A	demonstrative pronoun, this, that		
26361	曹	cao2	P	ministry officials		
26462	杞	qi3	P	willow		
26462	杞	qi3	S	medlar tree		
26462	杞	qi3	A	a small feudal state (Qi)		
26967	楗	jian4	P	bar of door, bolt of lock		
27573	段	duan4	P	section, piece, division		
27674	氚	chuan1	P	tritium		
27977	浉	shi1	P	river in Henan province		
28078	涮	shuan4	P	rinse		
28078	涮	shuan4	S	cook or boil in juice		
28583	澧	li3	P	river in northern Hunan province		
28684	瀌	biao1	P	plenty		
29088	熠	yi4	P	bright and sparkling		
29492	猴	hou2	P	monkey, ape		
29492	猴	hou2	S	monkey-like		
29593	玙	yu2	P	beautiful jade		
29997	甭	beng2	P	there is no need		
30300	癜	dian4	P	erythema		
30502	眦	zi4	P	corner of the eyes, eye sockets		
30603	瞋	chen1	P	glare with anger		
30704	矰	zeng1	P	arrow with attached silk cord		
30805	硕	shuo4	P	great, eminent		
30805	硕	shuo4	S	large, big		
31108	禄	lu4	P	blessing, happiness, prosperity		
31209	秩	zhi4	P	order		
31209	秩	zhi4	S	orderly		
31209	秩	zhi4	A	salary		
31411	窳	yu3	P	dirty, useless, weak, powerless		
31411	窳	yu3	S	cracked, a flaw		
32421	纥	he2	P	inferior silk		
32421	纥	he2	S	tassel, fringe		
32522	缊	yun4	P	tangled hemp, raveled silk		
32522	缊	yun4	S	vague, confused		
32724	翔	xiang2	P	soar, glide, hover		
32724	翔	xiang2	S	detailed		
33330	舲	ling2	P	small boat with windows		
33330	舲	ling2	S	houseboat		
33431	芗	xiang1	P	fragrant smell of grain		
33431	芗	xiang1	S	aromatic		
33633	荡	dang4	P	pond, pool		
33633	荡	dang4	S	wash away, cleanse		
33936	蒐	sou1	P	collect, gather, assemble		
33936	蒐	sou1	S	seek		
33936	蒐	sou1	A	spring hunt		
34239	薿	ni3	P	flower		
34542	蛮	man2	P	barbarians		
34542	蛮	man2	S	barbarous, savage		
34643	蝓	yu2	P	snail		
34946	袂	mei4	P	sleeves		
35754	讪	shan4	P	abuse, slander		
35754	讪	shan4	S	vilify		
35754	讪	shan4	A	ridicule		
35855	谏	jian4	P	remonstrate, admonish		
36259	趣	qu4	P	what attracts one's attention		
36461	蹭	ceng4	P	to shuffle, procrastinate, dilly-dally		
36764	辜	gu1	P	crime, criminal offense		
36865	送	song4	P	see off, send off		
36865	送	song4	S	dispatch, give		
38077	钽	tan3	P	tantalum (element 73, Ta)		
38178	锢	gu4	P	run metal into cracks		
38178	锢	gu4	S	confine		
38582	隶	li4	P	subservient		
38582	隶	li4	S	servant		
40097	鲡	li2	P	eel		
40501	鸵	tuo2	P	ostrich		
171902	𩽾	an1	P	anglerfish		
181396	𬒔	geng3	P	place name in Guangdong		
