# Kranji hand-crafted glosses - senses
# Source: project-authored; no third-party licence
#
# A row is one meaning of one reading. Order is the rank within that reading,
# written out rather than left to row position - sorting this file in a
# spreadsheet would otherwise re-rank every meaning silently.
# Examples are phrase keys separated by 、; a #n suffix names a phrase sense
# other than its first, and is silent otherwise.
# codepoint	glyph	reading	priority	meaning	examples	because
19996	东	dong1	P	east	东方|东边|山东|东西#1	
20002	丢	diu1	P	to lose	丢了	
20002	丢	diu1	S	to throw away	丢掉	
20302	低	di1	P	low	低声	
20302	低	di1	S	to lower	低头	
21040	到	dao4	P	to arrive; to reach	到了	
21160	动	dong4	P	to move	动物	
21500	叼	diao1	P	to hold in the mouth	叼着	
22320	地	de0	P	(makes a word describe how something is done)	慢慢地走	the particle is what a reader meets most, and it is the primary sense OF THIS READING; di4 has its own
22320	地	di4	P	earth; ground; land	地上|土地|地方	
22810	多	duo1	P	many; much	很多	
22823	大	da4	P	big	大人	
23545	对	dui4	P	correct	对了	
23545	对	dui4	S	towards	对着	
23545	对	dui4	A	a pair	一对	
24403	当	dang1	P	to serve as	当然	
24403	当	dang1	S	just at	当时	
24471	得	de0	P	(joins a verb to how it is done)	跑得快	
24471	得	de2	P	to get; to obtain	得到	three readings, one shape; a polyphone glossed at some readings and not others implies the rest are meaningless
24471	得	dei3	P	must; to have to	我得走了	
25140	戴	dai4	P	to wear (on the head or face)	戴帽子	
25481	掉	diao4	P	to fall; to drop	掉下来	
27934	洞	dong4	P	a hole; a cave	山洞	
28404	滴	di1	P	a drop	水滴	
28404	滴	di1	S	to drip	滴水	
28783	灯	deng1	P	a lamp; a light	台灯	
28857	点	dian3	P	a dot	黑点	
28857	点	dian3	S	a little	一点	
28857	点	dian3	A	o'clock	三点	
30340	的	de0	P	(marks what belongs to what)	我的	
30462	盾	dun4	P	a shield	盾牌	
31532	第	di4	P	(makes a number an order: first, second)	第一	
31561	等	deng3	P	to wait	等一下	
31561	等	deng3	S	a rank	等级	
31572	答	da2	P	to answer	回答	
37117	都	dou1	P	all; both	都是	
39030	顶	ding3	P	the top	山顶	
39030	顶	ding3	S	to carry on the head	顶着	
19968	一	yi1	P	one	一个|第一|一点	
20102	了	le0	P	(marks that something has happened)	到了|丢了	
26377	有	you3	P	to have	有的	
26377	有	you3	S	there is	有人	
20182	他	ta1	P	he; him	他的|他们	
22312	在	zai4	P	at; in	现在	
22312	在	zai4	S	to be somewhere	在家	
19978	上	shang4	P	up; on; above	上山|地上	
37324	里	li3	P	inside	里面|家里	
26159	是	shi4	P	to be; is	是的|都是	
25105	我	wo3	P	I; me	我的|我们	
20154	人	ren2	P	a person	大人|人们	
20010	个	ge4	P	(counts most things)	一个|那个	
19981	不	bu4	P	not	不是|不好	
22825	天	tian1	P	the sky	天上	
22825	天	tian1	S	a day	今天	
35828	说	shuo1	P	to say; to speak	说话|说明	
21482	只	zhi1	P	(counts animals)	一只鸭|两只蚂蚁	
26469	来	lai2	P	to come	来了|起来	
24456	很	hen3	P	very	很多|很好	
23376	子	zi3	P	a child; a son	子女	
27700	水	shui3	P	water	水滴|水果	
23427	它	ta1	P	it (an animal or a thing)	它的	
36215	起	qi3	P	to rise; to get up	起来|一起	
29422	狮	shi1	P	a lion	狮子	
23567	小	xiao3	P	small; little	小鸟|大小	
21313	十	shi2	P	ten	十个|十分	
22269	国	guo2	P	a country	中国|国王	
21073	剑	jian4	P	a sword	宝剑	
20174	从	cong2	P	from	从前	
20174	从	cong2	S	to follow	跟从	
20040	么	me0	P	(ends a question word)	什么	
26102	时	shi2	P	time	时间	
26102	时	shi2	S	an hour	小时	
21435	去	qu4	P	to go	回去	
20204	们	men0	P	(makes a word mean more than one)	我们	
19979	下	xia4	P	down; below	下来	
19979	下	xia4	S	to get off	下车	
37027	那	na4	P	that	那个	
35199	西	xi1	P	west	西边	
32650	羊	yang2	P	a sheep	山羊	
30011	画	hua4	P	to draw	画画|画蛇	
30011	画	hua4	S	a picture	图画	
30000	田	tian2	P	a field	田里	
27663	氏	shi4	P	a family name	氏族	
22909	好	hao3	P	good; well	好人	
21917	喝	he1	P	to drink	喝水	
20820	兔	tu4	P	a rabbit	兔子	
20250	会	hui4	P	can; to know how	学会	
37202	酒	jiu3	P	wine	酒杯	
36866	适	shi4	P	to suit	适合	
36866	适	shi4	S	fitting	合适	
36208	走	zou3	P	to walk; to go	走开	
31166	禾	he2	P	a grain plant	禾苗	
30707	石	shi2	P	a stone	石头	
25226	把	ba3	P	to hold	把住	
25226	把	ba3	S	(marks what is acted on)	把门关上	
23601	就	jiu4	P	then; at once	就是	
21448	又	you4	P	again	又来了	
21448	又	you4	S	and also	又高又大	
20160	什	shen2	P	(with 么, makes the word for what)	什么	
20013	中	zhong1	P	the middle	中间	
20013	中	zhong1	S	in; among	其中	
36824	还	hai2	P	still	还在	
36824	还	hai2	S	also	还有	
36807	过	guo4	P	to pass; to cross	走过	
35841	谁	shei2	P	who	是谁	
34434	蚂	ma3	P	(part of the word for ant)	蚂蚁	
34433	蚁	yi3	P	an ant	蚂蚁	
33853	落	luo4	P	to fall; to drop	落下	
33457	花	hua1	P	a flower	花草	
33337	船	chuan2	P	a boat	小船	
30475	看	kan4	P	to look; to see	看见	
29483	猫	mao1	P	a cat	小猫	
29066	熊	xiong2	P	a bear	大熊猫	
26679	样	yang4	P	a kind	花样	
26679	样	yang4	S	a way	这样	
26641	树	shu4	P	a tree	大树	
23569	少	shao3	P	few; little	不少	
23460	室	shi4	P	a room	教室	
21507	吃	chi1	P	to eat	吃饭	
20063	也	ye3	P	also; too	也是	
40493	鸭	ya1	P	a duck	鸭子	
39640	高	gao1	P	tall; high	高山	
36825	这	zhe4	P	this	这个	
34917	补	bu3	P	to mend; to patch	补一补	
34503	蛇	she2	P	a snake	画蛇	
33495	苗	miao2	P	a sprout	禾苗	
33311	舟	zhou1	P	a boat	刻舟	
33258	自	zi4	P	self	自己	
33258	自	zi4	S	from	自古	
33050	脚	jiao3	P	a foot	脚下	
32780	而	er2	P	and	而后	
32780	而	er2	S	yet	然而	
30683	矛	mao2	P	a spear	矛头	
30528	着	zhe0	P	(marks something going on)	叼着	
27809	没	mei2	P	not; to not have	没有	
26970	楚	chu3	P	(the state of Chu)	楚人	
26089	早	zao3	P	early	很早	
26089	早	zao3	S	the morning	早上	
24555	快	kuai4	P	fast; quick	很快	
23608	尸	shi1	P	a corpse	尸体	
23435	宋	song4	P	(the state of Song)	宋人	
22902	奶	nai3	P	milk	牛奶	
22902	奶	nai3	S	grandmother	奶奶	
22836	头	tou2	P	a head	头上	
22836	头	tou2	S	the top	山头	
22826	太	tai4	P	too; very	太多	
22774	壶	hu2	P	a pot; a kettle	水壶	
21487	可	ke3	P	can; may	可以	
21069	前	qian2	P	the front	前方	
21069	前	qian2	S	before	从前	
20854	其	qi2	P	his; its; that	其中	
20799	儿	er2	P	a child; a son	儿子	
20570	做	zuo4	P	to do; to make	做人	
20320	你	ni3	P	you	你们	
20197	以	yi3	P	with; by means of	可以	
20004	两	liang3	P	two	两个	
40517	鹅	e2	P	a goose	白鹅	
39135	食	shi2	P	food	食物	
39135	食	shi2	S	to eat	进食	
39118	风	feng1	P	wind	大风	
36827	进	jin4	P	to enter; to go in	进来	
36793	边	bian1	P	a side; an edge	河边	
36305	跑	pao3	P	to run	跑开	
33021	能	neng2	P	can; to be able	不能	
32773	者	zhe3	P	(one who does something)	作者	
31505	笑	xiao4	P	to laugh; to smile	笑话	
31481	竹	zhu2	P	bamboo	竹子	
30896	碰	peng4	P	to bump; to touch	碰到	
30524	眼	yan3	P	an eye	眼睛	
30333	白	bai2	P	white	白色	
30333	白	bai2	S	plain; blank	空白	
27827	河	he2	P	a river	河水	
27801	沙	sha1	P	sand	沙子	
27743	江	jiang1	P	a large river	江边	
27515	死	si3	P	to die	死了	
27515	死	si3	S	dead	死水	
26729	桩	zhuang1	P	a wooden post	树桩	
26666	株	zhu1	P	a tree stump	守株	
26666	株	zhu1	S	(counts trees)	一株树	
26368	最	zui4	P	most	最好	
26126	明	ming2	P	bright	明月	
26126	明	ming2	S	next (in time)	明天	
26045	施	shi1	P	to carry out; to apply	施行	
25214	找	zhao3	P	to look for	找到	
25163	手	shou3	P	a hand	手上	
25152	所	suo3	P	a place	住所	
25152	所	suo3	S	(marks what is done)	所见	
25104	成	cheng2	P	to become	成为	
25104	成	cheng2	S	to succeed	成事	
24930	慢	man4	P	slow	很慢	
24590	怎	zen3	P	how	怎么	
24320	开	kai1	P	to open	开门|打开	
24320	开	kai1	S	to start	开始	
24066	市	shi4	P	a market	市场	
24066	市	shi4	S	a city	城市	
24050	已	yi3	P	already	已经	
24049	己	ji3	P	oneself	自己	
23478	家	jia1	P	a home	回家|家里	
23478	家	jia1	S	a family	一家人	
22905	她	ta1	P	she; her	她的	
22827	夫	fu1	P	a man	农夫	
22827	夫	fu1	S	a husband	丈夫	
22768	声	sheng1	P	a sound; a voice	大声	
22352	坐	zuo4	P	to sit	坐下	
22238	回	hui2	P	to return; to go back	回来	
21602	呢	ne0	P	(softens a question)	怎么呢	
21518	后	hou4	P	behind	背后	
21518	后	hou4	S	after	后来	
21050	刺	ci4	P	to pierce	刺穿	
21050	刺	ci4	S	a thorn	鱼刺	
20960	几	ji3	P	how many	几个	
20960	几	ji3	S	a few	几天	
20892	农	nong2	P	farming	农田	
20892	农	nong2	S	a farmer	农夫	
20877	再	zai4	P	again	再来	
20307	体	ti3	P	a body	身体	
20303	住	zhu4	P	to live; to stay	住在	
20030	举	ju3	P	to raise; to lift	举手	
40657	黑	hei1	P	black; dark	黑色	
40479	鸟	niao3	P	a bird	小鸟	
38632	雨	yu3	P	rain	下雨	
38382	问	wen4	P	to ask	问题	
